"k","lasso"
3,0.0821458229677904
5,0.150011199264832
7,0.15637362378177
9,0.157734507905832
11,0.158547997818125
13,0.164935082243848
15,0.157550915628704
17,0.153216588312515
19,0.153688013686559
21,0.154859533385268
23,0.145140030992517
25,0.144101718579876
27,0.142354538889508
29,0.135533859114049
31,0.136601853592157
33,0.145007153748739
35,0.146153062569437
37,0.144940569443127
39,0.13981398668971
41,0.140662495136364
43,0.14401325397119
45,0.139844013085518
47,0.137227771273977
49,0.14098470617739
51,0.140273655322467
53,0.145670040167973
55,0.146634586383443
57,0.146035555289619
59,0.14276703521924
61,0.145481713048
63,0.143663574240116
65,0.147020502209644
67,0.142548893089223
69,0.149155266876313
71,0.14879141551605
73,0.148404595702842
75,0.147422736805013
77,0.148638498205184
79,0.145542079727926
81,0.14302220985589
83,0.14240883549366
85,0.142035015355631
87,0.142682317548275
89,0.141919269167548
91,0.141263460588966
93,0.139881099587413
95,0.142295946216295
97,0.148688319463422
99,0.148627688126154
101,0.146347447704882
103,0.147603771126703
105,0.140993198116681
107,0.144555468928109
109,0.142008765794432
111,0.142936048294456
113,0.132937128248493
115,0.133517035549237
117,0.12393961980302
119,0.102250862617293
121,0.0633614224533079
123,0.0565076303045968
125,0.0466833750322457
127,0.0748077704192714
129,0.0887318400485776
131,0.0988282312500963
133,0.0960547986060672
135,0.0949381503577242
137,0.114420198901332
139,0.124455648012726
141,0.116863971088305
143,0.13136047221202
145,0.159374697402242
147,0.131668552366288
149,0.134183250652078
151,0.129094508807578
