"k","lasso_refit"
3,0.119523584874917
5,0.134824953851585
7,0.11542730353154
9,0.0979004525858792
11,0.0777931363978963
13,0.0629788512917686
15,0.0907629528649915
17,0.108145053616843
19,0.101819999377101
21,0.115494929436943
23,0.136386292793896
25,0.123668155238553
27,0.108403427503214
29,0.102881642696414
31,0.126847659147395
33,0.143955932094967
35,0.123008550674067
37,0.115826033789984
39,0.130080122558083
41,0.131157542400765
43,0.148234043501491
45,0.147217793383032
47,0.14764537072047
49,0.160646920921838
51,0.177315871861457
53,0.190958194476405
55,0.181931972409192
57,0.186685988190542
59,0.158730975493027
61,0.158265206434774
63,0.172136270025231
65,0.143499483012052
67,0.158406583574723
69,0.17242939803234
71,0.175693715597558
73,0.190925787059985
75,0.178234367358684
77,0.194728557488549
79,0.185276241726438
81,0.190238605183743
83,0.200433767573074
85,0.181535522060969
87,0.184447696007667
89,0.189371019401498
91,0.203311689934091
93,0.225500331482189
95,0.235961349900459
97,0.243806356853478
99,0.24444519279776
101,0.258656913008792
103,0.242403557663536
105,0.231151820776784
107,0.226794912083653
109,0.204768553083243
111,0.213837484831421
113,0.221359222412982
115,0.22616203711259
117,0.225148422173848
119,0.200905330207369
121,0.190818664225664
123,0.190875811045235
125,0.198193604728438
127,0.195607452764379
129,0.198399528161397
131,0.211813965809236
133,0.212557344474862
135,0.220215328621051
137,0.202253521282015
139,0.181536941079445
141,0.184969518178167
143,0.188652002543151
145,0.193407545182004
147,0.214229631559919
