"k","lasso"
3,0.106963732595289
5,0.170180705995421
7,0.132988932254429
9,0.139880915665308
11,0.151862959862604
13,0.1508306859907
15,0.161921701457289
17,0.155374872133058
19,0.149920178996217
21,0.160136294290304
23,0.159199624720246
25,0.161377262957278
27,0.163802189080008
29,0.162331706376335
31,0.164740979837117
33,0.17065597399367
35,0.175051268923679
37,0.176038539599057
39,0.178524374999459
41,0.169788987262249
43,0.169376874123204
45,0.171116544524084
47,0.167345974159309
49,0.174978546509564
51,0.181108364064912
53,0.180298174480028
55,0.177107253133392
57,0.174804143703878
59,0.174416604513122
61,0.174061552921767
63,0.171797739920888
65,0.170509129651847
67,0.172148711973331
69,0.176320696517093
71,0.179225587875225
73,0.182482549753827
75,0.178018842483277
77,0.182636701091047
79,0.183087630806407
81,0.180948975845652
83,0.186026745636396
85,0.188215512355783
87,0.186202647067289
89,0.181337883744219
91,0.187166040164306
93,0.190054250913125
95,0.196322268745762
97,0.205631660762168
99,0.199551672770832
101,0.193491810723401
103,0.201081488854222
105,0.197381473869124
107,0.18929326480268
109,0.190275542413265
111,0.19613403126392
113,0.19691116868741
115,0.191490866363195
117,0.191970759292425
119,0.207485274780278
121,0.213099772793202
123,0.213943172075067
125,0.218880661703414
127,0.207409347352032
129,0.194496218384778
131,0.19105642255523
133,0.202166190306178
135,0.199871185681926
137,0.205162480941875
139,0.21356633601981
141,0.202455350597752
143,0.191134216145254
145,0.198149711097613
147,0.207811768563746
149,0.207831771082157
