"k","SharpeRatio","less_than_k"
3,0.182126841902819,0
13,0.190698791259798,0
23,0.198895405874599,0
33,0.201184812725495,0
43,0.201422371455007,0
53,0.209578517025745,0
63,0.202302634271474,0
73,0.201531267379233,0
83,0.187754321809844,0
93,0.197066397268432,0
