"T_in","k","sharpe_oos","turnover_median","weight_instability_L1_median","weight_instability_L2_median","selection_instability_mean","nnz_mismatch_count","span_pca_median"
240,3,0.758098646548604,6.39095522481174,0.512113909019739,0.337886469085213,0.152278177458034,0,0.921694375346143
240,4,0.916419257825893,11.652000689802,1.03407557071083,0.613327428844003,0.174854402192532,0,0.922811346019615
240,5,1.04832747156717,17.4698443503925,1.56171908042634,0.857564321550203,0.191104259449583,0,0.927036048945825
240,6,1.14250299877662,20.8520958008628,1.80572465941855,0.860612825918689,0.126847093753568,0,0.931342256934343
240,7,1.15718365460952,22.7062206714239,2.12962559924571,0.939971693508835,0.123607780442313,0,0.929717087912804
240,8,1.15972623847136,24.9902925135473,2.47198470335652,1.05263703337987,0.124971537921178,0,0.931464844260363
240,9,1.15864846888593,26.2304965789898,2.72307496394691,1.15085164898458,0.133115325921082,0,0.936193334462932
240,10,1.15608361636336,28.3146722771785,3.33195872532424,1.3144047913414,0.129915647901259,0,0.943680229758082
240,11,1.15084061041393,31.4758749708738,3.81839261072307,1.42408463680925,0.121767201623316,0,0.95167051328677
240,12,1.15057608312111,35.4714192324295,4.34020853184958,1.60551563515222,0.123962368566685,0,0.955860780687065
240,13,1.14984063584748,38.2779363180127,5.10013824744127,1.8386836430425,0.124903774459424,0,0.957427816845165
240,14,1.14715502452319,40.0724871763277,5.91256424365141,2.02067804490668,0.124219056127647,0,0.960142978420145
240,15,1.14096886648799,45.9524993849485,6.62940100212625,2.14530656702513,0.124413162968077,0,0.957067228475966
240,16,1.14053601012279,52.1722239637928,7.39070227536291,2.35370780960857,0.128639462011402,0,0.958273422310765
240,17,1.1391779075093,56.3275912890159,7.9418085785144,2.38014270033384,0.135347743677922,0,0.959710815581948
240,18,1.13839540548997,61.4109981616682,8.33934875311148,2.55496773293221,0.135491114968586,0,0.958038086952763
240,19,1.14042249239024,64.1875726178782,8.97388074493798,2.6969871386702,0.135789843562756,0,0.958836888562326
240,20,1.14036344955747,68.2043066607935,9.19673702326078,2.68096746726391,0.137958138896518,0,0.957667328173066
240,21,1.14008823401046,73.286112168623,9.71719709744173,2.75604960415649,0.14038784903971,0,0.958138996544618
240,22,1.13747351895347,78.3386803088018,10.2587498272381,2.85399179922147,0.133138456904488,0,0.959457709523652
240,23,1.13625264333441,84.3117949444956,11.0776934258299,3.08243766161548,0.134049155942813,0,0.962025509079728
240,24,1.13178295723439,88.7616325246872,11.8093015240222,3.2425905689366,0.136175353262924,0,0.963969380720495
240,25,1.12801228017223,95.2983299413854,12.055465618038,3.18878037224347,0.136707990567728,0,0.966297559191969
240,26,1.12599983459077,102.773304458113,12.6558462037403,3.31942172129427,0.136672060377724,0,0.969749577278984
240,27,1.12326325868059,105.915525332381,13.3327110244927,3.44571037964694,0.134387778337491,0,0.97209156794998
240,28,1.12153592601652,111.823372654002,14.3115003965788,3.54084292568799,0.131858385211314,0,0.973703623903826
240,29,1.12015313266567,118.242219549323,15.6392962046978,3.85360883432817,0.129743139288483,0,0.974485899690568
240,30,1.11805873763946,121.682389284657,15.6063037981196,3.88798232856594,0.128451366823856,0,0.975906506793878
240,31,1.11815807311304,128.576713235514,16.9198548957515,4.08289366941582,0.125889148670181,0,0.97707431642578
240,32,1.11568425699856,136.345198697662,18.409189572577,4.31838707451458,0.123688322196018,0,0.977541091523078
240,33,1.11576925570712,142.377373774792,18.3808561697692,4.26461438091648,0.124776025184739,0,0.977872816632867
240,34,1.11706996827695,147.952281057722,19.2980428555285,4.42310027145599,0.125087458135731,0,0.978508259888627
240,35,1.11645076494768,156.741182320048,20.8134323875257,4.53081322232849,0.12605705816426,0,0.978331107383394
240,36,1.11558226944453,163.093781755482,20.8074116885199,4.54016587665914,0.125724962623704,0,0.979039143775498
240,37,1.11417921077772,168.541505750416,22.2267742395885,4.82552937175536,0.127739729603865,0,0.979526053044145
240,38,1.11216837881877,176.890193212644,22.5229197957373,4.75743809904311,0.127164320228443,0,0.979733046695648
240,39,1.11099073296158,181.87120942614,22.7586121813255,4.87143772358189,0.126406025218928,0,0.97980314937917
240,40,1.10845839310179,189.179470367722,25.0336152160671,5.20230862384067,0.125425098366788,0,0.980328443185374
240,41,1.10789036387773,197.115895237578,25.6380696497922,5.20286639480918,0.126364703556443,0,0.980842065064857
240,42,1.1073565981447,202.645569306511,27.0652624338206,5.58861117953123,0.124194058968671,0,0.981385968193967
240,43,1.10720085908624,209.061920954059,28.9716649761749,5.75098277290138,0.123579250218708,0,0.982430848100564
240,44,1.10577010399231,218.399712076483,29.1563721582865,5.92219292156085,0.124356453797888,0,0.982523731633492
240,45,1.10486721934621,223.056184060399,31.0687664331273,6.15526675982566,0.12278316022176,0,0.982337562154599
240,46,1.10362827759373,232.23421937413,31.967890449312,6.25721986992355,0.122360847961744,0,0.983289459790604
240,47,1.10328712073429,239.775681776823,32.3353621977084,6.2950898274828,0.123760892387976,0,0.982849762287619
240,48,1.10394343230159,250.010273499361,32.42585221413,6.19685182252756,0.122322763519402,0,0.983025327748001
240,49,1.10341878294383,256.746795282234,34.4834055112326,6.42089965136519,0.121875558373744,0,0.983380014985138
240,50,1.10229018204338,265.920499109269,36.8356677285488,6.69539932063147,0.122985544017073,0,0.982807162430989
240,51,1.10135128901764,277.677758414883,38.6586394488547,7.05482885400106,0.120922817485614,0,0.982129328987511
240,52,1.09956682059737,283.265332320047,39.0429801681077,7.2580425325078,0.12184744131441,0,0.983086522933663
240,53,1.09821440089684,294.108356142867,42.1732011688135,7.54162102033565,0.121497775343682,0,0.983927587904777
240,54,1.09816374278717,304.195260747467,43.1958180213164,7.65158213516098,0.122601245770481,0,0.984537752700899
240,55,1.09710645119103,318.734392337974,44.5148331359809,7.79977009337951,0.121197142943477,0,0.984947059569325
240,56,1.0962475348659,324.539320352974,45.2767334626374,7.85585681108292,0.122021181152033,0,0.984565670271703
240,57,1.09505456018546,336.020648347384,46.8569799516063,8.20538639509794,0.122919169314505,0,0.984918454730508
240,58,1.09280855853261,344.164973214453,49.2125100099624,8.41098988192549,0.122557031079552,0,0.985142195650944
240,59,1.09026427584286,358.548105688034,50.058495043352,8.42370448474044,0.122240358154443,0,0.984264490313116
240,60,1.0875620220832,367.461677954448,50.5844267314759,8.51253342831087,0.123168154559531,0,0.984649335535006
240,61,1.08793972480455,377.940549166397,51.702335980098,8.46842201432274,0.123425565430694,0,0.984774256702133
240,62,1.08572054530398,389.045222572368,53.9196204036318,8.97464302713982,0.122618326652124,0,0.984835998641434
240,63,1.08199668866937,403.461385886882,55.9511500960724,9.22944836068852,0.121073958795046,0,0.985134546980572
240,64,1.08049631747076,413.96456159792,57.0356193184951,9.34711499233054,0.11901161968927,0,0.985735419357743
