"T_in","k","sharpe_oos","turnover_median","weight_instability_L1_median","weight_instability_L2_median","selection_instability_mean","nnz_mismatch_count"
360,3,0.661291772159488,3.0164249401114,0.0212946252300185,0.013614636734773,0.0310734463276836,0
360,4,0.655933299113387,3.34306765854727,0.0327299789796068,0.0174651580192786,0.0790960451977401,0
360,5,0.651496534697424,3.63770969203541,0.0576057812291616,0.0313569299004142,0.0774818401937046,0
360,6,0.649589284918965,4.03552530397519,0.0807433337061137,0.0400087454426762,0.138014527845036,0
360,7,0.65567502194757,4.60882474925038,0.0882084413207377,0.041260478239215,0.129786566227244,0
360,8,0.692309337828056,5.5017238821536,0.103158629081427,0.0455512038135168,0.125435142384295,0
360,9,0.677656278427911,7.40935227289996,0.111842408653876,0.0448416383160531,0.13733949666153,0
360,10,0.66640707982528,7.64061868673529,0.100507009147423,0.0402113698478487,0.119407899068916,0
360,11,0.671696475624591,8.89773469484044,0.111441516882616,0.0429156329679078,0.120229299890317,0
360,12,0.685454352849019,12.7049788150381,0.10444673036063,0.0383601906345632,0.133084994101943,0
360,13,0.707914831399122,13.3546475767951,0.0818981914471082,0.0287689456661132,0.120803066989508,0
360,14,0.706421641735388,13.4874220788253,0.0861954033200112,0.0290204917217792,0.122382851445663,0
360,15,0.708418935629776,12.434354337803,0.084777709067854,0.0273946854008092,0.104145895646394,0
360,16,0.711097965409732,12.5591353198869,0.0829204981674533,0.0256658262820501,0.112485156615922,0
360,17,0.71228472202514,12.3013932901208,0.0880610521043136,0.0265701179957494,0.121247091363059,0
360,18,0.712120643174369,12.5585957687474,0.0900470102674709,0.0271348376987737,0.119259628269441,0
360,19,0.71328879569557,12.8250815082838,0.0876258903597288,0.0246760352159326,0.113332929250394,0
360,20,0.720087727305233,15.0291038626078,0.0886250138245825,0.0242756614653249,0.11248392972785,0
360,21,0.72295600989266,15.6485923483253,0.0845776813856546,0.0236241113460833,0.113001444637406,0
360,22,0.724349212366998,15.903903145372,0.0886044210445771,0.024667862997989,0.11948204274414,0
360,23,0.731579257742215,16.1145243078413,0.0862061405203091,0.0230671991087705,0.116776303838451,0
360,24,0.73261294212224,15.8357916427997,0.0858126560246476,0.0229695237155837,0.117866404435662,0
360,25,0.731152144218353,15.7956574327568,0.0879362891718918,0.0235835048471429,0.106585263413629,0
360,26,0.730817643447712,15.786168369046,0.0931769664918548,0.0226081168706277,0.106591790145236,0
360,27,0.740677282399165,15.1980507980214,0.0924532712215448,0.02307227149345,0.108330460443449,0
360,28,0.741397600904812,14.8138254501545,0.0892961566475935,0.0221331593977138,0.109400522827872,0
360,29,0.741537019534245,14.5500790312613,0.0905035653867575,0.0223965205530392,0.107644401432392,0
360,30,0.742768093620091,14.5965299449802,0.0906216271108437,0.0214037678731416,0.10983535684433,0
360,31,0.749267859549233,14.6041532462393,0.0889460849467423,0.021065559190791,0.106182931419721,0
360,32,0.757630425386859,14.6044506597537,0.091642073699382,0.0220085170432766,0.103421209198614,0
360,33,0.759254089552943,14.4491876891467,0.0944372068167395,0.0217898839573442,0.105141408085208,0
360,34,0.764309612022341,14.3720818899148,0.0944104346318461,0.021487224743951,0.10089908653691,0
