"k","lasso"
3,0.137515653093291
5,0.170792195885775
7,0.176385769870423
9,0.172839416697198
11,0.178468021217916
13,0.170790384018478
15,0.168606957361663
17,0.180087784995174
19,0.181205234371476
21,0.178562198538557
23,0.178626089371637
25,0.173150974626309
27,0.174860537257972
29,0.174221017444991
31,0.177411857832705
33,0.175224558767823
35,0.166847925393285
37,0.159882254378023
39,0.162885978904541
41,0.165801300700334
43,0.165441547380501
45,0.166407515806837
47,0.165898465669352
49,0.164612916798388
51,0.166336066926176
53,0.168122101111746
55,0.165597133185912
57,0.171670548950215
59,0.177123280648754
61,0.175473989945932
63,0.178095334307883
65,0.17845277797065
67,0.180394910427962
69,0.176177176736866
71,0.17752362695207
73,0.176421481677902
75,0.184724821520665
77,0.181590834862256
79,0.179016741794021
81,0.182038559653337
83,0.180443359031174
85,0.183082533785896
87,0.181506955408597
89,0.180332309057689
91,0.18228560204952
93,0.182369035196572
95,0.187002828040497
97,0.185143264922729
99,0.18342220570808
101,0.182374945601062
103,0.17010537896988
105,0.169938315058626
107,0.168205094698129
109,0.169838761210672
111,0.160237761954316
113,0.159679174717629
115,0.160870785690584
117,0.16775461932568
119,0.169948037500745
121,0.174860503885831
123,0.171821904346286
125,0.175818303192539
127,0.177356694272983
129,0.17097359942486
131,0.169307872625405
133,0.165856184552003
135,0.168377297540284
137,0.170814791162179
139,0.170923848834624
141,0.169105172285909
143,0.170213177904181
145,0.16941581548096
147,0.174429070851811
