"T_in","k","sharpe_oos","turnover_median","weight_instability_L1_median","weight_instability_L2_median","selection_instability_mean","nnz_mismatch_count"
360,1,2.96231383456552,2,0,0,0.00336700336700337,0
360,4,3.0653960525611,2.1350003355166,0.0783584360959303,0.0451283578198308,0.121789321789322,0
360,7,3.14466843434677,2.67766406323917,0.0946596183194143,0.0436457172789704,0.116549331700847,0
360,10,3.11763930356721,3.24359494940613,0.0973300061553627,0.0399053574615947,0.106747349171592,0
360,13,3.08513551720579,3.95169484868313,0.119036075749082,0.0420469771042004,0.11523569023569,0
360,16,3.11782555552778,4.66222593894339,0.122160601462363,0.0389810491261724,0.12266501733306,0
360,19,3.17947352741068,5.72285520331775,0.115842795280643,0.0335071471958224,0.111475315296132,0
360,22,3.19905493514351,6.57916570766547,0.113069344628801,0.0304715259060106,0.12094736539181,0
360,25,3.20575479329674,7.50789354212072,0.113450824103603,0.029537581878001,0.123412778173212,0
360,28,3.2457166624481,8.49632366914489,0.114720889016533,0.027216043787659,0.12132105968246,0
360,31,3.27314664153107,9.35960429535775,0.11895583647967,0.0270301395339222,0.124019169102354,0
360,34,3.27769884487758,10.2625240938295,0.118240566913083,0.025966506645863,0.115222178964869,0
360,37,3.23460178542416,11.371559848525,0.12431966400026,0.0260824186736469,0.116284924427218,0
360,40,3.24064601835622,12.4200155433598,0.123518263663072,0.0254133897897015,0.107664961660454,0
360,43,3.22794756759799,13.580865901976,0.124412730060219,0.0247371550981853,0.106062213160376,0
360,46,3.23601881509349,14.7650231327754,0.120905197202733,0.0234356142824947,0.105735823954081,0
360,49,3.2109810385347,16.0926541995775,0.121012442520446,0.0225582631158609,0.110010630552113,0
360,52,3.20332518504383,17.1949564199111,0.119917922341809,0.0214343293872801,0.107076970214072,0
360,55,3.18168703874247,18.317643263676,0.121960556399369,0.0214018785587444,0.106058689436169,0
360,58,3.15733798700393,19.5317810328019,0.122722689487932,0.0210497028845543,0.107052454407473,0
360,61,3.13701706940293,20.9774240295297,0.127566564622061,0.0208566952782508,0.10418776337046,0
360,64,3.11171898490982,22.265605433036,0.126552524636634,0.0204716489136929,0.101316863665674,0
360,67,3.08762836756424,23.7473317464022,0.125247185560837,0.0195899917847307,0.0965739088719613,0
360,70,3.08532075415056,25.2811311781762,0.121286112418705,0.0187181165641497,0.0928659067871786,0
360,73,3.07779668589539,26.9210267575946,0.119119093367718,0.0181133121694465,0.0920431645630846,0
360,76,3.05797789149747,28.6269784889469,0.12202973926311,0.01828850864655,0.0876450518916875,0
360,79,3.02857035252501,30.3283331139793,0.122857967888171,0.0180015614681311,0.0885408663352866,0
360,82,3.00055357224279,32.3946872920953,0.121840664774661,0.0175552184471143,0.0882449504897366,0
360,85,2.97373834039049,34.4848840971564,0.121484075657384,0.01731989294306,0.0867593904903547,0
360,88,2.94383929721708,36.4998684677394,0.118353707924704,0.0163291687254832,0.0863132153327321,0
360,91,2.92548459843808,38.7691312504704,0.121842396228672,0.016527060799221,0.0866722593795943,0
360,94,2.90276128491066,41.1019428634057,0.119107519876453,0.0161257662523584,0.0833446033478775,0
360,97,2.87299794606954,43.363545495958,0.116753209848149,0.0153675050772688,0.0814871764995879,0
360,100,2.84305816075398,46.2124451172425,0.1137012894116,0.0147812109878551,0.0791780978192433,0
360,103,2.8190356588876,48.8334305955155,0.11255361192524,0.0143661535218191,0.0780216426727613,0
360,106,2.78811563956838,51.6441508800235,0.11048833812348,0.0139847508416285,0.0781632032455138,0
360,109,2.75157575698468,53.9654327938589,0.111894303705951,0.0141193590118588,0.0773165787194516,0
360,112,2.72493921791766,56.824066487141,0.112438279923387,0.013676017456,0.0755386582005431,0
360,115,2.6798483421209,60.2726766648803,0.110272808280809,0.0133484591993658,0.0746039951696411,0
360,118,2.63892738189986,63.2144029671524,0.112210488410182,0.0134411945774312,0.0732071670211259,0
360,121,2.60551356696094,66.4020578735842,0.110647275854105,0.01318817229186,0.0704979160804279,0
360,124,2.56960681373425,69.2136471258901,0.108503270020613,0.0127329511838352,0.0688821220085605,0
360,127,2.52621620055632,72.7937581491297,0.106377094938085,0.0122675136520171,0.0675418971696769,0
360,130,2.48892395008412,76.2172603985972,0.105113422588443,0.012157275451997,0.0666889117946908,0
360,133,2.43957656402668,80.2839549429052,0.104497262048601,0.0118747048193428,0.0639156885222418,0
360,136,2.39073478632177,84.8353538610728,0.103553945824134,0.0116765067126612,0.0608958634546698,0
360,139,2.33270446292784,88.7497420104775,0.10368961262517,0.0115610159284507,0.0573257931106234,0
360,142,2.2682431814188,92.9903235230768,0.103010088441843,0.0111538652805278,0.048386273063408,0
360,145,2.21711083870697,97.8267516625984,0.0997500907735617,0.0107098383306406,0.0363384896191124,0
360,148,2.16985290994904,102.844538740096,0.0941808677240029,0.0101135636666161,0.0115698370731928,0
