"k","lasso_refit"
3,0.106582620079959
5,0.118351744130913
7,0.15485045502576
9,0.165258004832145
11,0.136430660060485
13,0.111591486215574
15,0.145115209956293
17,0.181877528502097
19,0.160009453053156
21,0.0795576374945885
23,0.101083501007188
25,0.100948507679418
27,0.0932779170395037
29,0.0995671881819928
31,0.104175076588978
33,0.134915623444664
35,0.142920772460294
37,0.154667764335188
39,0.150408745758243
41,0.147331797657658
43,0.169658798117415
45,0.167538469859537
47,0.128344536987273
49,0.124657237710505
51,0.130216014068928
53,0.126998828263794
55,0.104002574459798
57,0.102819949207721
59,0.119307491496507
61,0.101369406802527
63,0.126062578959117
65,0.11049651434548
67,0.115320823307703
69,0.1014112793963
71,0.116021612397478
73,0.156940560179246
75,0.143686096423942
77,0.15815412703959
79,0.173462377065141
81,0.174450244899732
83,0.148693585273682
85,0.166955446448689
87,0.145776196103016
89,0.143733750918615
91,0.128071342282359
93,0.115133355577075
95,0.145891643178107
97,0.217824441270458
99,0.232879533572629
