"k","lasso_refit"
3,0.152869386686368
5,0.160892066175076
7,0.150145122717198
9,0.156260931765087
11,0.153451728081765
13,0.142540788400943
15,0.164593371158534
17,0.170167731634332
19,0.163884669184642
21,0.156500881034482
23,0.159338132175289
25,0.161931114175729
27,0.159371582886478
29,0.150787680567422
31,0.146492696353664
33,0.123685951992463
35,0.147952842478497
37,0.182347938536793
39,0.188282348074304
41,0.181334624815165
43,0.190373967057655
45,0.193062246369031
47,0.185440420823585
49,0.183665829043227
51,0.196882663802132
53,0.1915967214768
55,0.220318268986788
57,0.213429945139244
59,0.236422480248229
61,0.236639669878727
63,0.23585929703903
65,0.247004094254768
67,0.26575773020839
69,0.249672700193705
71,0.254971224537627
73,0.248945096865614
75,0.215493730913194
77,0.208756427586788
79,0.197956366664257
81,0.198176582425447
83,0.198750302706507
85,0.215105149969591
87,0.209124614952726
89,0.203843080493901
91,0.214572184715237
93,0.195094586775303
95,0.192060941189052
97,0.194177502833485
99,0.173370021326576
