"k","lasso_refit"
3,0.166175670487284
5,0.145727024992597
7,0.111222949158352
9,0.107429509309376
11,0.10686458876657
13,0.135392234210161
15,0.142250197154755
17,0.163644614758091
19,0.169473450816933
21,0.181685523016664
23,0.183052837860217
25,0.175313915357682
27,0.148153733733494
29,0.150374815392186
31,0.128297243788843
33,0.122264499503241
35,0.143405620964776
37,0.117333993727541
39,0.124779332303915
41,0.144134053778095
43,0.151166069106555
45,0.15835352022781
47,0.155701503953187
49,0.179683381584785
51,0.156572378093901
53,0.170369264263417
55,0.185862317919231
57,0.170143303294712
59,0.187069385730513
61,0.19196589919761
63,0.183797490510517
65,0.219675280356968
67,0.196687776772571
69,0.18652025233517
71,0.182558979015741
73,0.197647278695556
75,0.182368956134119
77,0.188966645153414
79,0.200152257282694
81,0.198963086104752
83,0.207494508091966
85,0.236659516595765
87,0.254398203306632
89,0.263200519328662
91,0.24589134816161
93,0.248299824321885
95,0.269534337540054
97,0.280780247953256
99,0.288767927064358
