"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.0668306121244729,0,0.989936397720074,0,0.000158864587490221,0.000158864587490221
4,0.161649446726618,0,0.974887613373022,0,0.00476350562035114,0.0029836352130504
7,0.130633375187663,0,0.930738500393103,0,0.00939935055635712,0.00491509585447775
10,0.14677205936119,0,0.895836570408357,0.1,0.0122634355575502,0.00511274176442736
13,0.144946180265273,0,0.869618751854892,0,0.0183944952427023,0.00684816458783794
16,0.149167570046389,0,0.809774336747609,0,0.0216037358651632,0.00731427418980313
19,0.170041016245057,0,0.749178739477832,0.1,0.0268303000178518,0.00857017069585093
22,0.194759127309342,0,0.702415240993965,0.0869565217391305,0.0356171729959563,0.0102128752082788
25,0.196899436862012,0,0.644887448655007,0.0769230769230769,0.0402411168120345,0.0107586797762481
28,0.181415982903363,0,0.581578219275667,0.0689655172413793,0.0483337949280748,0.0117480022383602
31,0.178609243362462,0,0.528166568464756,0.0625,0.0547240581207722,0.0130333217394783
34,0.181828110446398,0,0.51478296413704,0.0571428571428572,0.0568969268744201,0.0133947619102255
37,0.202306486144792,0,0.523425141754142,0.0526315789473685,0.0655293554650684,0.0144055045549504
40,0.205679059456106,0,0.5376577883559,0.0487804878048781,0.068493592165144,0.0148880655896919
43,0.199590746204261,0,0.557377855793609,0.0454545454545454,0.0759041832251704,0.0161716576319525
46,0.194216825470586,0,0.627585858348542,0.0425531914893617,0.0820233221826576,0.0166906513498878
49,0.191489064493229,0,0.774320587030582,0.04,0.0888282646976797,0.0171270280743174
52,0.193134887493269,0,0.928985125612114,0.0377358490566038,0.0956513261377302,0.0177487298902501
55,0.194127467424585,0,1.02770527365974,0.0357142857142857,0.103867738310778,0.0187621355590843
58,0.196231539709888,0,1.21363370332772,0.0338983050847458,0.120996063478756,0.0207967790527293
61,0.187545838114534,0,1.49066541209949,0.032258064516129,0.146276769524111,0.023972618731488
64,0.197689854656455,0,1.95668615357265,0.0307692307692308,0.162331498564597,0.0264877975478459
67,0.19031952579494,0,2.44355299924546,0.0294117647058824,0.176401924939165,0.0271646832355426
70,0.20038137241459,0,3.13078713905404,0.028169014084507,0.205114244178536,0.0319053158251889
73,0.196942746221102,0,3.80217772013288,0.027027027027027,0.216844440366691,0.0336202583486747
76,0.204041162550394,0,4.84718667267758,0,0.257558233191493,0.0391914947573088
79,0.215136273836042,0,5.7534412760253,0.025,0.298691162871981,0.0432562656106264
82,0.218712039868599,0,6.75600527634294,0.0240963855421686,0.338075135493625,0.047472511200893
85,0.216107729893179,0,8.35716476067018,0.0232558139534884,0.47372563291671,0.0654497488560825
88,0.204290943597329,0,11.4217198019599,0,0.614435202732977,0.0852220441080461
91,0.220414599288769,0,14.516658256847,0.0217391304347826,0.808240645139351,0.107369218967105
94,0.193969800903601,0,17.9061070822832,0.0210526315789473,0.803083099031351,0.104503364436125
97,0.201457042922281,0,19.6783386424923,0.0204081632653061,0.801687894553541,0.105024627929971
