Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199612   ,1.39   ,2.26   ,1.41  ,-1.40  ,-1.81  ,-1.46
199701   ,4.07   ,3.63   ,3.82   ,3.91   ,5.10   ,6.63
199702  ,-1.69  ,-2.70  ,-2.87   ,0.06   ,0.23   ,0.23
199703  ,-6.12  ,-3.28  ,-4.32  ,-4.70  ,-3.34  ,-5.11
199704  ,-2.81   ,0.23  ,-0.78   ,2.37   ,3.36   ,7.01
199705  ,10.50  ,11.35  ,12.55   ,8.54   ,6.29   ,6.63
199706   ,4.65   ,5.27   ,5.77   ,3.95   ,4.24   ,4.19
199707   ,4.93   ,5.67   ,5.95   ,7.94   ,9.83   ,6.85
199708   ,2.95   ,3.27   ,3.73  ,-3.24  ,-3.70  ,-5.37
199709   ,8.81   ,8.41   ,7.36   ,6.80   ,6.08   ,4.87
199710  ,-4.59  ,-3.35  ,-3.58  ,-3.92  ,-3.36  ,-3.00
199711  ,-3.38  ,-1.09  ,-2.98   ,0.03   ,2.78   ,5.41
199712  ,-0.25   ,1.42   ,0.48   ,2.73   ,2.14   ,1.81
199801  ,-1.38  ,-0.98  ,-0.82   ,0.51  ,-2.04   ,2.46
199802   ,7.07   ,7.18   ,7.90   ,8.47   ,8.38   ,6.47
199803   ,4.72   ,4.36   ,4.81   ,6.71   ,4.98   ,4.99
199804   ,1.58   ,2.02   ,0.64   ,3.33   ,1.34   ,0.48
199805  ,-5.15  ,-4.63  ,-5.30  ,-3.74  ,-2.56  ,-1.38
199806   ,0.00  ,-0.43  ,-0.61   ,4.32   ,1.50   ,4.84
199807  ,-7.69  ,-7.19  ,-7.27  ,-3.82  ,-1.97  ,-0.99
199808 ,-22.08 ,-18.54 ,-19.24 ,-19.05 ,-16.24 ,-13.54
199809   ,7.40   ,4.85   ,4.25   ,7.38   ,4.67   ,7.66
199810   ,3.60   ,4.69   ,5.01   ,6.83   ,8.56   ,7.39
199811   ,6.92   ,5.27   ,5.77   ,5.50   ,5.61   ,6.71
199812   ,4.36   ,4.11   ,5.62   ,5.85   ,6.82   ,6.31
