Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199609  ,-0.52  ,-1.22  ,-1.78   ,3.36   ,3.63   ,2.85
199610  ,-6.41  ,-6.13  ,-6.31  ,-6.94  ,-6.97  ,-6.77
199611  ,-4.03  ,-2.98  ,-3.53  ,-0.40   ,1.54   ,1.99
199612 ,-12.70 ,-10.42 ,-10.08 ,-10.39  ,-5.84  ,-4.00
199701 ,-10.19  ,-9.55  ,-9.57 ,-14.26  ,-9.79  ,-8.59
199702  ,-0.68   ,0.42  ,-1.62   ,2.62   ,2.09   ,1.51
199703  ,-8.08  ,-6.74  ,-7.18  ,-4.81  ,-2.41  ,-3.37
199704  ,-2.65  ,-3.30  ,-2.51   ,1.26   ,1.62   ,3.99
199705  ,16.89  ,16.22  ,17.37  ,13.03  ,15.13  ,11.53
199706   ,2.14   ,3.02   ,3.20   ,8.76   ,5.93   ,3.98
199707 ,-12.74 ,-10.95  ,-9.99  ,-8.41  ,-3.47   ,1.30
199708 ,-10.20  ,-9.95 ,-11.42  ,-6.45  ,-8.82 ,-11.97
199709 ,-15.09 ,-12.50 ,-12.69  ,-6.28  ,-1.84   ,2.83
199710   ,0.87  ,-0.59  ,-1.70  ,-7.67  ,-8.13  ,-9.38
199711 ,-19.12 ,-15.87 ,-17.59 ,-13.71  ,-5.44  ,-4.17
199712 ,-15.92 ,-14.19 ,-12.83 ,-12.44  ,-6.23  ,-5.16
199801  ,27.84  ,21.69  ,23.02  ,16.05   ,9.56   ,7.24
199802   ,8.15   ,5.32   ,3.73   ,4.36   ,0.54  ,-0.97
199803  ,-9.60  ,-8.24  ,-8.67  ,-7.67  ,-6.04  ,-5.99
199804  ,-5.78  ,-4.59  ,-3.80  ,-4.05  ,-1.39  ,-0.24
199805  ,-4.34  ,-4.08  ,-3.86  ,-4.39  ,-4.20  ,-5.10
199806   ,1.16   ,1.41   ,0.20  ,-0.37   ,1.29   ,0.91
199807  ,-2.05  ,-1.04  ,-0.32  ,-3.70  ,-0.49  ,-0.68
199808  ,-9.90  ,-7.41  ,-6.82  ,-8.55  ,-7.91 ,-10.09
199809  ,-6.61  ,-5.57  ,-5.94  ,-4.43  ,-2.60  ,-3.10
199810  ,15.84  ,12.21  ,11.02  ,20.52  ,16.90  ,14.78
199811   ,6.13   ,5.63   ,7.03   ,2.58   ,0.99   ,7.17
199812   ,0.13   ,1.90   ,4.78   ,0.96   ,4.83   ,2.75
199901   ,0.73   ,0.11   ,0.14   ,1.25   ,0.61   ,1.76
199902  ,-1.67  ,-2.37   ,1.91  ,-3.02  ,-2.93  ,-1.77
199903  ,14.40  ,12.12  ,15.79  ,11.82  ,13.72  ,15.12
199904  ,12.01   ,9.42  ,10.56   ,4.23   ,4.63   ,4.15
199905  ,-5.67  ,-5.69  ,-5.12  ,-5.05  ,-4.76  ,-4.78
