Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199612   ,2.14   ,2.31   ,0.92  ,-0.11  ,-2.62  ,-1.63
199701   ,4.41   ,3.26   ,4.09   ,4.63   ,5.47   ,7.40
199702   ,0.39  ,-1.23  ,-5.72   ,0.38   ,2.17  ,-3.79
199703  ,-4.01  ,-3.45  ,-7.35  ,-3.37  ,-4.77  ,-5.28
199704  ,-1.52  ,-0.31  ,-2.98   ,2.94   ,5.84   ,6.64
199705   ,9.80   ,9.68  ,14.26   ,5.91   ,6.38   ,9.05
199706   ,4.70   ,6.00   ,4.78   ,3.74   ,5.19   ,2.73
199707   ,5.56   ,5.22   ,5.51   ,6.67   ,7.18  ,11.76
199708   ,2.61   ,3.08   ,3.48  ,-4.15  ,-5.46  ,-2.70
199709   ,6.96   ,8.24   ,9.70   ,5.47   ,5.75   ,5.34
199710  ,-2.83  ,-3.19  ,-5.46  ,-3.34  ,-2.54  ,-4.53
199711  ,-1.00  ,-1.04  ,-4.90   ,4.46   ,4.05   ,1.58
199712   ,0.16   ,1.36  ,-0.39   ,3.33   ,2.49  ,-0.64
199801  ,-0.28  ,-0.97  ,-1.62  ,-0.24   ,0.33   ,2.40
199802   ,6.38   ,7.23   ,8.10   ,5.78   ,7.50   ,9.48
199803   ,5.10   ,3.54   ,5.46   ,4.17   ,6.51   ,4.13
199804   ,2.30   ,1.79   ,0.75   ,0.31   ,1.53   ,2.16
199805  ,-3.90  ,-4.09  ,-6.62  ,-1.71  ,-1.44  ,-4.23
199806  ,-0.55  ,-0.17   ,0.45   ,1.05   ,3.77   ,6.87
199807  ,-6.67  ,-6.64  ,-8.56  ,-2.24  ,-0.95  ,-2.99
199808 ,-17.78 ,-17.76 ,-24.75 ,-12.46 ,-15.73 ,-19.29
199809   ,4.60   ,5.11   ,7.89   ,6.61   ,5.70   ,8.21
199810   ,3.51   ,4.40   ,4.23   ,7.23   ,8.69   ,6.42
199811   ,6.66   ,5.66   ,6.73   ,5.78   ,5.91   ,7.12
199812   ,3.45   ,4.07   ,6.35   ,3.60   ,7.17   ,9.40
199901   ,1.60  ,-0.04   ,4.39   ,0.58   ,3.41   ,9.65
199902  ,-5.45  ,-6.36  ,-9.97  ,-2.22  ,-2.69  ,-6.81
199903   ,0.53  ,-0.74   ,3.33   ,4.03   ,2.55   ,6.80
199904   ,8.15   ,7.84  ,11.00   ,5.87   ,4.11   ,2.83
199905   ,2.79   ,2.80  ,-0.96  ,-1.53  ,-2.00  ,-2.88
199906   ,5.14   ,7.16   ,6.60   ,2.37   ,5.90   ,6.89
199907   ,0.05  ,-0.81  ,-2.68  ,-3.00  ,-2.83  ,-3.84
199908  ,-2.10  ,-2.69  ,-3.86  ,-2.28  ,-0.03  ,-0.70
199909  ,-0.34   ,0.01   ,1.01  ,-3.47  ,-3.12  ,-0.99
199910   ,0.19  ,-1.38   ,0.38   ,5.19   ,7.60   ,6.27
199911   ,5.89   ,4.17   ,9.99   ,0.92   ,1.76   ,5.94
199912  ,11.17   ,7.16  ,13.34   ,3.09   ,4.88  ,14.13
200001   ,1.54  ,-2.75  ,-1.39  ,-1.41  ,-3.93  ,-6.44
200002  ,18.73  ,11.66  ,20.89  ,-2.46  ,-1.11   ,4.41
200003  ,-8.28  ,-1.64  ,-6.07  ,10.95   ,8.11   ,9.11
200004  ,-6.57  ,-1.71 ,-13.28  ,-1.31  ,-0.71 ,-10.22
200005  ,-5.45  ,-3.07  ,-6.50  ,-2.60  ,-0.09  ,-7.05
200006  ,11.44   ,5.35  ,13.89   ,0.95   ,0.93   ,9.25
200007  ,-0.55  ,-0.92  ,-6.95  ,-0.42  ,-0.92  ,-3.48
