Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199610   ,1.70   ,3.14   ,3.35   ,0.35   ,2.67   ,1.67
199611   ,2.78   ,2.46   ,1.63   ,4.25   ,4.16   ,5.93
199612   ,2.27   ,2.70   ,2.66   ,1.15   ,2.44   ,2.88
199701   ,1.45   ,1.05   ,0.52   ,0.91   ,0.01  ,-0.15
199702   ,2.03   ,1.03   ,1.74   ,1.14   ,1.04   ,0.85
199703   ,1.76   ,1.35   ,1.69   ,2.47   ,2.32   ,2.75
199704  ,-2.02  ,-1.33  ,-1.48  ,-0.72  ,-0.61   ,0.94
199705   ,3.55   ,4.08   ,3.25   ,5.59   ,5.67   ,3.40
199706   ,0.49   ,1.92   ,0.43   ,3.69   ,4.84   ,4.39
199707  ,-0.60  ,-1.01  ,-2.11   ,3.76   ,4.83   ,3.32
199708   ,0.18  ,-0.16   ,1.60  ,-5.09  ,-6.60  ,-4.16
199709   ,5.94   ,6.25   ,6.41   ,8.42  ,10.32   ,9.35
199710  ,-0.57  ,-1.25  ,-0.01  ,-3.14  ,-5.96  ,-4.44
199711  ,-2.36  ,-1.32  ,-1.28   ,1.46   ,1.23   ,1.25
199712  ,-0.33  ,-0.08  ,-0.04   ,4.77   ,3.00   ,2.46
199801   ,4.10   ,0.95   ,2.44   ,4.39   ,3.33   ,3.71
199802   ,6.45   ,6.54   ,6.78  ,10.27   ,7.84   ,6.87
199803  ,10.29   ,8.16   ,9.40   ,6.79   ,6.78   ,7.36
199804   ,2.89   ,4.43   ,5.17   ,2.03   ,1.97   ,3.51
199805   ,4.17   ,3.88   ,6.56   ,2.60   ,2.99   ,1.25
199806  ,-3.40  ,-4.10  ,-2.16  ,-1.58  ,-0.32   ,1.72
199807  ,-0.44  ,-0.97  ,-0.81   ,5.28   ,1.62   ,1.47
199808 ,-10.71 ,-10.28 ,-10.72 ,-14.38 ,-11.56 ,-10.74
199809  ,-2.54  ,-4.77  ,-5.01  ,-5.77  ,-5.00  ,-3.08
199810   ,1.92   ,1.86   ,1.98   ,6.92   ,8.88   ,6.48
199811   ,2.01   ,1.87   ,1.89   ,6.64   ,4.29   ,4.57
199812   ,0.31   ,0.60   ,1.36   ,3.63   ,2.88   ,4.27
199901   ,0.23  ,-1.38   ,0.13  ,-1.13  ,-2.13   ,2.32
199902   ,0.07  ,-0.59   ,0.93  ,-4.31  ,-2.36  ,-0.82
199903   ,1.04  ,-0.14  ,-0.69  ,-0.17   ,1.14   ,0.16
199904   ,3.49   ,4.26   ,4.31   ,2.29   ,4.73   ,2.18
199905   ,0.82   ,1.06  ,-0.17  ,-4.46  ,-4.05  ,-3.04
199906   ,2.87   ,1.93   ,1.45   ,0.35   ,2.35   ,2.53
199907   ,5.56   ,4.09   ,3.91   ,0.32   ,2.32   ,0.33
199908   ,5.51   ,4.63   ,4.34   ,2.61   ,1.48   ,0.67
199909   ,2.34   ,0.37   ,1.30   ,2.24  ,-1.20   ,0.09
199910   ,2.00  ,-0.54   ,1.09  ,-1.44   ,2.25   ,3.87
199911   ,3.33  ,-0.05   ,4.31   ,1.72   ,0.83   ,6.76
199912   ,3.84   ,4.55   ,8.00   ,8.36   ,7.44  ,13.31
200001   ,1.53  ,-1.11   ,3.20  ,-8.34 ,-10.23  ,-4.75
200002   ,7.17   ,4.13  ,10.07   ,4.59   ,4.22   ,8.98
200003  ,-3.64  ,-2.32  ,-4.71   ,4.13   ,2.63  ,-0.08
200004 ,-10.43  ,-7.20  ,-9.47  ,-3.27  ,-2.14  ,-7.35
200005   ,1.27   ,2.47  ,-1.32   ,1.80   ,3.41  ,-2.55
200006   ,1.67   ,1.73   ,1.06   ,4.81   ,1.37  ,-1.41
200007  ,-1.70  ,-1.44  ,-1.17   ,0.05  ,-1.67  ,-0.76
200008   ,0.30  ,-1.56  ,-0.12  ,-0.13  ,-0.45  ,-2.34
200009  ,-2.93  ,-2.02  ,-1.40  ,-5.18  ,-5.30  ,-3.53
200010  ,-9.03  ,-6.47  ,-6.54  ,-2.99  ,-1.73  ,-0.28
200011  ,-7.60  ,-2.01  ,-3.28  ,-3.21  ,-2.58  ,-5.86
200012   ,5.64   ,7.31   ,6.90   ,7.41   ,6.39   ,5.18
200101   ,2.79   ,2.06   ,2.37   ,1.13   ,1.28  ,-0.20
200102  ,-4.63  ,-2.79  ,-4.03  ,-6.52  ,-8.48 ,-10.45
200103 ,-10.30  ,-7.85  ,-9.54 ,-10.68  ,-9.81  ,-6.38
200104   ,4.13   ,5.21   ,4.93   ,5.41   ,7.87   ,9.96
200105  ,-2.90  ,-1.70  ,-1.33  ,-4.87  ,-3.41  ,-6.94
200106  ,-4.28  ,-3.40  ,-3.79  ,-1.99  ,-2.81  ,-4.63
200107  ,-2.68  ,-0.43  ,-1.76  ,-2.01  ,-0.86   ,1.70
200108  ,-1.29   ,2.07   ,1.05  ,-3.32  ,-0.42  ,-2.80
200109 ,-16.20 ,-14.42 ,-15.86 ,-12.62  ,-9.74 ,-10.77
200110   ,5.75   ,3.34   ,4.43   ,5.41   ,2.24   ,3.16
200111   ,6.33   ,5.98   ,6.21   ,6.79   ,4.11   ,2.32
200112  ,-1.09   ,1.04   ,2.22   ,1.08   ,1.93   ,2.84
200201  ,-2.54  ,-1.51  ,-0.45  ,-7.69  ,-4.31  ,-3.55
200202  ,-1.05   ,2.24   ,0.90  ,-2.24   ,1.30   ,1.51
200203   ,4.12   ,5.16   ,5.06   ,5.00   ,5.75   ,4.84
200204   ,1.69   ,4.92   ,2.70  ,-2.89   ,1.61  ,-1.12
200205   ,2.02   ,3.39   ,2.56   ,0.10   ,0.77  ,-0.11
200206  ,-1.37   ,0.25  ,-0.67  ,-5.57  ,-2.34  ,-1.08
