Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199609  ,-1.15  ,-1.34  ,-1.84   ,3.44   ,3.13   ,3.47
199610  ,-6.40  ,-6.52  ,-5.86  ,-7.54  ,-6.50  ,-6.67
199611  ,-4.00  ,-3.11  ,-3.82  ,-0.77   ,2.05   ,2.02
199612 ,-13.19  ,-9.23  ,-9.56 ,-11.30  ,-5.03  ,-3.95
199701  ,-9.90  ,-9.83 ,-10.03 ,-17.28  ,-9.15  ,-6.84
199702  ,-0.81   ,0.50  ,-2.60   ,3.89   ,1.12   ,1.55
199703  ,-7.77  ,-6.97  ,-7.24  ,-5.57  ,-3.38  ,-1.62
199704  ,-2.77  ,-3.10  ,-2.73  ,-0.12   ,4.71   ,2.25
199705  ,18.88  ,15.05  ,15.59  ,14.15  ,10.97  ,14.58
199706   ,1.95   ,3.27   ,3.97  ,10.30   ,4.50   ,4.35
199707 ,-12.82 ,-10.06  ,-9.78  ,-8.22  ,-1.53  ,-0.71
199708 ,-10.28 ,-10.82 ,-10.12  ,-7.23  ,-9.66 ,-10.51
199709 ,-15.60 ,-11.47 ,-12.41  ,-4.60   ,0.68  ,-1.06
199710   ,0.68  ,-1.81  ,-0.25 ,-14.81  ,-5.49  ,-6.37
199711 ,-19.41 ,-15.85 ,-16.69  ,-9.78  ,-5.92  ,-6.22
199712 ,-15.52 ,-12.65 ,-14.41 ,-11.34  ,-5.70  ,-5.81
199801  ,27.57  ,21.00  ,22.01  ,16.13   ,7.12   ,9.16
199802   ,7.64   ,4.26   ,4.37   ,3.65  ,-0.57   ,0.38
199803  ,-9.90  ,-7.76  ,-8.38 ,-11.29  ,-3.50  ,-5.84
199804  ,-5.74  ,-4.00  ,-4.04  ,-4.20  ,-1.86   ,0.32
199805  ,-4.31  ,-4.03  ,-3.83  ,-6.01  ,-4.10  ,-4.04
199806   ,1.12   ,0.76   ,0.70   ,0.55   ,1.65  ,-0.12
199807  ,-1.61  ,-0.94  ,-1.52  ,-5.20  ,-1.07   ,1.32
199808  ,-9.68  ,-6.77  ,-7.81 ,-13.27  ,-7.58  ,-7.48
199809  ,-6.91  ,-5.50  ,-5.49  ,-5.18  ,-1.83  ,-3.21
199810  ,14.78  ,11.92  ,12.93  ,27.09  ,14.80  ,12.76
