"k","elnet"
3,0.00654404181089783
5,0.00446433956115252
7,0.00852098974787069
9,0.0111678862955476
11,0.0112889578365105
13,0.0133311908421334
15,0.0118401545555011
17,0.012108082252193
19,0.0123563162742375
21,0.0140371496299171
23,0.0137684355952465
25,0.0124602749241774
27,0.0139754032147506
29,0.0160768291385909
31,0.0168186206417819
33,0.0141584510689319
35,0.0143121263919508
37,0.0119638628970209
39,0.0118596202458083
41,0.0106934277992954
43,0.016145565112856
45,0.014966848230931
47,0.0159921545432255
49,0.0165952945784738
