"k","elnet_refit"
3,0.261412309065505
5,0.270061600164253
7,0.280020084319907
9,0.289772464649372
11,0.300336601369553
13,0.303894374451287
15,0.302936237825364
17,0.306131346031166
19,0.307083485921103
21,0.307007273846691
23,0.307106177874884
25,0.308996355620795
27,0.310278994102488
29,0.310704448141141
31,0.310911158474819
33,0.311177763975831
35,0.312140607343575
37,0.311402002718284
39,0.312207543825004
41,0.312659734939995
43,0.313241366527571
45,0.314159948910671
47,0.315460421346005
49,0.315547415915233
51,0.315060799352001
53,0.314529455630402
55,0.314671742621982
57,0.314493804669619
59,0.313939189388542
61,0.312802364254371
63,0.313584851872368
65,0.313423745322048
67,0.314310214663853
69,0.314742888955118
71,0.314670692448062
73,0.314103504337248
75,0.314884266437179
77,0.314662728153752
79,0.314342429985626
81,0.314352890929491
83,0.315101796930238
85,0.315947343589031
87,0.316009245608604
89,0.314949647166738
91,0.31538827328992
93,0.320373361687734
95,0.321891689334229
97,0.322834920967758
99,0.327055252268513
