"T_in","k","sharpe_oos","turnover_median","weight_instability_L1_median","weight_instability_L2_median","selection_instability_mean","nnz_mismatch_count"
480,3,0.258315653934365,2.2282379866845,0.0632605914944728,0.0403393119474217,0.0854633180749722,0
480,12,0.646709187454243,8.51970846214065,0.0915788301054048,0.0341856162798081,0.0967973755800094,0
480,21,0.875574284124317,12.9790156113475,0.0882521555865823,0.0260774751387178,0.0912010380144233,0
480,30,1.03623056796189,18.6720770320569,0.0870345357684932,0.021850266497653,0.088974884750517,0
480,39,1.14722760067811,23.1136975982439,0.0871899902387353,0.019286378786013,0.085073948952421,0
480,48,1.22541400201848,27.9427529214442,0.0869986515877643,0.0175330830690293,0.0827577107251506,0
480,57,1.27514758453567,33.6972698496976,0.08666004322041,0.0160281561771878,0.081681317178439,0
480,66,1.30213610431024,38.0988584606838,0.0868142775744755,0.0148374397482027,0.0806378476492707,0
480,75,1.320814867725,42.4101315007609,0.087990121866031,0.0141565614560856,0.0808278092509745,0
480,84,1.32682551179044,47.5986744868586,0.0886173110249955,0.0134673032762767,0.0801486815857935,0
480,93,1.33297437842101,53.5588944315235,0.0896850560015134,0.0129086218692063,0.0791340247310035,0
480,102,1.33663791790043,59.7686572532826,0.0907968372229835,0.0124240492023073,0.0787594882935631,0
480,111,1.33860526437161,66.3412075343062,0.0907019443107386,0.0119366669824648,0.0780369841455581,0
480,120,1.33455961959945,72.3001085408865,0.0912592864846082,0.0115121104897421,0.0777774565944214,0
480,129,1.33196519411982,78.3959833766802,0.0923721013914852,0.0111766070873153,0.0765574994713481,0
480,138,1.32672413874891,84.6411420639303,0.0925868272234727,0.0108374965010747,0.0757846525904707,0
480,147,1.31822778582416,88.5713798172024,0.0933211250023426,0.0105894633794506,0.0751721012057384,0
480,156,1.30765181370998,89.9869097654336,0.0941204090793208,0.0103782929810688,0.0745593371717968,0
480,165,1.29569401067867,90.3183079455497,0.0949450642896123,0.0102108967982496,0.0730317127216429,0
480,174,1.2852922190577,86.7558012617704,0.0958494150626203,0.0100733343531436,0.0727146906068992,0
480,183,1.27216563421916,84.5512913957494,0.0975544136125462,0.0100524012324763,0.0719959264318841,0
480,192,1.25856471521967,81.8287528197496,0.0995199144939089,0.0101020592089785,0.0717066997592332,0
480,201,1.23718603926027,79.2045638811417,0.101769542098381,0.0102656634507629,0.0714549288739473,0
480,210,1.21337431161815,79.3476388575807,0.103698927076426,0.0103981630741105,0.0710854267705851,0
480,219,1.19539232476045,79.0217209883703,0.107115385002655,0.0107947869613266,0.0705949762463869,0
480,228,1.1730291919043,75.5128627708005,0.111926400955428,0.0114226773627792,0.0698251543295363,0
480,237,1.14922550595659,70.7773275492662,0.116567655412739,0.0121208341847291,0.0675687535353355,1
480,246,1.12333896554631,66.9833531479925,0.119891959500724,0.0129740845467663,0.0627457676123287,0
480,255,1.09242678236716,66.9959371405595,0.119148518262897,0.0131247212319324,0.0559980243657277,0
480,264,1.05734731625188,72.7058824216901,0.115158833434118,0.0129811074850091,0.0438291274178745,0
480,273,1.01065388522591,81.9199293699672,0.105208609870541,0.0120265552379988,0.0203955801276696,0
