"k","elnet_refit"
3,0.336138993101255
6,0.347431277674587
9,0.348655395082287
12,0.35393552506196
15,0.357878525974069
18,0.362010443466512
21,0.36394858448414
24,0.364653180774162
27,0.366036688595524
30,0.368568771430768
33,0.367564116138887
36,0.367728329439844
39,0.36872657411095
42,0.369954158578473
45,0.37185398739941
48,0.373759093510072
51,0.375254729517816
54,0.375446251030482
57,0.375873603255919
60,0.377073856604343
63,0.377615747395686
66,0.378077802269879
69,0.376793353265759
72,0.377603358812229
75,0.378024237372761
78,0.378386732036991
81,0.37861797632045
84,0.379038288274183
87,0.377154028747108
90,0.378608628483844
93,0.379885280143575
96,0.378449744025288
99,0.374960951868921
102,0.373719914744554
105,0.374889406446768
108,0.373957162664239
111,0.37272391050131
114,0.373803289649978
117,0.370187147384245
120,0.370244095867925
123,0.369512103757395
126,0.36909123352493
129,0.364535159699445
132,0.361571051965003
135,0.363470021013045
138,0.36084768515398
141,0.359689657298454
144,0.357529381041204
147,0.354646538022691
150,0.351022258080126
153,0.34558926205325
156,0.343955333662617
159,0.338647618837728
162,0.336527025380925
165,0.33230222545317
168,0.33403998502799
171,0.329259291102158
174,0.328976698247379
177,0.323715294187088
180,0.316430096955945
183,0.31228958497584
186,0.311717555097622
189,0.299677728230489
192,0.29938415411586
195,0.295185161399575
198,0.282837473519787
201,0.274857391535282
204,0.268235749326563
207,0.269575801093953
210,0.26059392636192
213,0.252409829150577
216,0.245085733965038
219,0.227496920579851
222,0.227732270359793
225,0.220720698630667
228,0.199083145155789
231,0.192299258638681
234,0.186707314159312
237,0.170208506079749
240,0.160215772414564
243,0.151312658400804
246,0.152161457030474
249,0.133353707005765
252,0.132722996753422
255,0.11759027807815
258,0.133916949393171
261,0.129526044438423
264,0.138358211693704
267,0.137031929236891
270,0.146851011340045
273,0.13845711590762
