"k","lasso_refit"
3,0.0461660031833162
5,0.054987319297492
7,0.0593223742989228
9,0.0599934997465164
11,0.0634353849334007
13,0.0607525461873902
15,0.0587294479664477
17,0.0615208216694833
19,0.0633114125941483
21,0.0616232578901816
23,0.0619487681697209
25,0.060450229684574
27,0.0657680378514713
29,0.0630414356374444
31,0.0665608870425108
33,0.0639949710022737
35,0.0623124515137555
37,0.0654847237462514
39,0.063448237493403
41,0.0626375006579752
43,0.0637744561530623
45,0.0682535978078814
47,0.068798267264113
49,0.0697308886661817
