"k","elnet"
3,0.00925567949259561
5,0.011255674786952
7,0.0145496383944846
9,0.0130112211418726
11,0.0135601028825535
13,0.0134849604914285
15,0.0159062177452015
17,0.014137102756661
19,0.0136027872471931
21,0.0132641402893064
23,0.0135085713433785
25,0.0141994449332307
27,0.0132462800554474
29,0.0149276536743282
31,0.0147867794612789
33,0.0149681349350089
35,0.0157030075242951
37,0.0166789829262474
39,0.0194969698502076
41,0.0195149362837377
43,0.0179440070172977
45,0.0122527806909288
47,0.0191710842681092
49,0.00515919884856708
