"k","elnet_refit"
3,0.0376401250539758
5,0.0500944430527637
7,0.0556640300230661
9,0.0612090389527528
11,0.0659065362106587
13,0.0678326249715349
15,0.0695702509555715
17,0.0748676206343028
19,0.0751455107421234
21,0.0753903333123028
23,0.0742547201722835
25,0.0795130690289003
27,0.0784488735756435
29,0.0812378185990974
31,0.0811859364511865
33,0.0828103206134429
35,0.0842844949974163
37,0.0832752497645626
39,0.0835863049876901
41,0.0842366928181606
43,0.0816661586307482
45,0.0798390689610998
47,0.0832093645481402
49,0.0836179744516652
