"k","lasso_refit"
3,0.306661178948475
12,0.337352341812769
21,0.345104323006561
30,0.35458282566481
39,0.358501561833988
48,0.361239367648975
57,0.367870327986981
66,0.373073318285038
75,0.373010361378072
84,0.372555698717008
93,0.374679471905687
102,0.372763174002106
111,0.373011764213933
120,0.370945738138925
129,0.36497173905761
138,0.360617300264978
147,0.352339488537663
156,0.339262191902445
165,0.331332043166226
174,0.319935484266391
183,0.309609895546648
192,0.292243732301016
201,0.262924465134886
210,0.261941724269416
219,0.241709950069021
228,0.21328521061872
237,0.165885403356253
246,0.154785702510741
255,0.118926632935978
264,0.162395447223789
273,0.174865358845783
