"k","elnet"
3,0.0243101415954303
6,0.0178869422205692
9,0.00947170272622732
12,0.00923642291275713
15,0.00808348321367671
18,0.00778235805211378
21,0.00729614672587545
24,0.007982464002497
27,0.00714106081537924
30,0.00720034148347372
33,0.00767671025876945
36,0.00679663143982509
39,0.00615952238735338
42,0.00526470026587391
45,0.00446440406828456
48,0.00372571176652682
51,0.00268138121874355
54,0.00310701000250631
57,0.00250251624945188
60,0.00279806276847708
63,0.00352447419522744
66,0.00359034651608861
69,0.00311555756446965
72,0.00422486979121092
75,0.00414188030146972
78,0.00478364251435263
81,0.00489314920928486
84,0.00352732841927933
87,0.00308742904504043
90,0.00383945574304069
93,0.00359507245994757
96,0.00426821895613311
99,0.00439450683505704
102,0.00457593453489534
105,0.00446992810688015
108,0.004175173142095
111,0.00443913246873135
114,0.00502314547393243
117,0.00543177777881196
120,0.0060195363920139
123,0.00608864024999588
126,0.00628698337122539
129,0.00664775836049513
132,0.00687719191824164
135,0.0073970643401123
138,0.00774522523529687
141,0.00825649589742014
144,0.00869604916312495
147,0.00916982144067431
150,0.00896258320845062
153,0.00952782468004021
156,0.00937640712580967
159,0.00955564767867361
162,0.00942682337609276
165,0.00990242429702494
168,0.00994043322106808
171,0.0104499099485085
174,0.00981890495275257
177,0.0100525694611508
180,0.00980739793790044
183,0.0101454185887225
186,0.0100226276274067
189,0.00964435178785822
192,0.00967042107283713
195,0.00972927326675256
198,0.00981753945795152
201,0.00982749158846623
204,0.0102986772714801
207,0.010665139256366
210,0.0106993258963786
213,0.0110044614362735
216,0.0113284820615712
219,0.010930874001111
222,0.0114627360651098
225,0.0118922696984475
228,0.0115560748402408
231,0.0121409560871969
234,0.0118694714617281
237,0.0118478947118534
240,0.0118261053725562
243,0.0117619308260717
246,0.0115889613945134
249,0.0121236116685815
252,0.0118119368847302
255,0.0120339546257219
258,0.0125716137779907
261,0.0120400413827321
264,0.0123725550231855
267,0.0118553440771869
270,0.0120271369195505
273,0.0117949983434406
276,0.0112090536385672
279,0.011567473108114
282,0.0122099405100436
285,0.0123510865373246
288,0.013182559854535
291,0.0127142308268057
294,0.0125222481855103
297,0.0128413596644852
300,0.0130247036360629
303,0.0135338255831988
306,0.0135295814914442
309,0.0134731072287459
312,0.0138125087536556
315,0.0133288089953517
318,0.0143900455884661
321,0.013874396926847
324,0.0145042804326573
327,0.0149073572846791
330,0.0148178425661994
333,0.0155008927625906
336,0.0156928008905381
339,0.016805359897185
342,0.0171206445203859
345,0.0181173678689322
348,0.0186535951450498
351,0.0182829259985057
354,0.0179123196667819
357,0.0193020031239624
360,0.0198220893118532
363,0.0198085719096769
366,0.0184273326882085
369,0.0205963019433393
372,0.0207870407292197
375,0.0204891620418947
378,0.0218500138059411
381,0.0222441080794816
384,0.0234349025568086
387,0.0197861042449953
390,0.0239813949129035
393,0.0181198278886977
396,0.0201331503071076
399,0.0223486455070287
