"k","lasso_refit"
3,0.0207507085144482
5,0.029728255023748
7,0.0390876501415402
9,0.0455198784549297
11,0.0419737108852485
13,0.0468521222862013
15,0.0455310251565712
17,0.0429356325365401
19,0.047875212075679
21,0.0546781968221165
23,0.0533312548492505
25,0.0566647320133357
27,0.0605875749252185
29,0.0674688925306871
31,0.0691206554334154
33,0.0662308322656959
35,0.0631663497016134
37,0.0614085107819797
39,0.0627903878637053
41,0.0623406569869344
43,0.0691388526845938
45,0.0720947954451492
47,0.0667242358105706
49,0.0711725960246262
