"k","elnet_refit"
3,0.0450378034404218
5,0.0591117329930228
7,0.0631493730209793
9,0.0706913081422139
11,0.0622964207815025
13,0.0624584473199644
15,0.0587027924724681
17,0.0567918179072823
19,0.0555093794007445
21,0.0556413293378041
23,0.0523544479122319
25,0.0541149025508823
27,0.0568061786879009
29,0.0549916579866013
31,0.056979762087666
33,0.0583074330687417
35,0.058051723486488
37,0.05782022923464
39,0.0570449341975973
41,0.061583939583069
43,0.0631123374174192
45,0.0608138493031705
47,0.0627922881198378
49,0.0690712685048204
