"k","elnet_refit"
3,0.0246177420046533
5,0.0330281709668823
7,0.0440250269462659
9,0.046620330186584
11,0.0463075632438714
13,0.0461276445777665
15,0.044895937468781
17,0.0420500620814846
19,0.0440218622099807
21,0.0476057029777035
23,0.0549014279790369
25,0.0571086597420361
27,0.0602214227455158
29,0.0635906578677151
31,0.0648721862318006
33,0.0676189033665036
35,0.0709526092194677
37,0.0714863960242736
39,0.072847859954811
41,0.0722018108080282
43,0.0732235047265962
45,0.069912293818799
47,0.0689580276726447
49,0.0735537721433993
