"k","elnet"
3,0.07732890200023
6,0.0565374295050143
9,0.0486318526503831
12,0.042667569710801
15,0.0376025302551294
18,0.0360527342663139
21,0.0349687683912633
24,0.031945881025568
27,0.0308960702887345
30,0.0305650268073354
33,0.0295931537828073
36,0.027639732020544
39,0.0269244784592577
42,0.0265705031164952
45,0.0258286944789031
48,0.0251105894971413
51,0.0240780023234842
54,0.0240899609675327
57,0.0236523195596822
60,0.0227352785838055
63,0.0219497286482296
66,0.0211558040222668
69,0.0210745243955347
72,0.0202840456215594
75,0.0206771143564778
78,0.0218851391890104
81,0.0193577679558063
84,0.0199384572513237
87,0.0223922408442111
90,0.0194863336617025
93,0.0193794108763833
96,0.0224901573474504
99,0.0118950896633061
