"k","elnet"
3,0.00566446648050708
5,0.00734595028621365
7,0.0128335586091944
9,0.0144459156184752
11,0.0171554628186574
13,0.0167406086499942
15,0.0183692436691435
17,0.0191248458844428
19,0.0187711893291081
21,0.0200683574492149
23,0.0196592341134483
25,0.0184461321061239
27,0.0204968555289601
29,0.0232246451059767
31,0.0231595124638611
33,0.0226026801964949
35,0.0219927897448846
37,0.0234075551776403
39,0.0256593943174051
41,0.0264178205986148
43,0.0261792800066951
45,0.0183674441713253
47,0.0197193130550864
49,0.0226644118434759
