"k","elnet_refit"
3,0.0465998308795543
4,0.0525748612848427
5,0.0599298733542747
6,0.0658986385845111
7,0.0671381762474421
8,0.0701410558841468
9,0.0686819850065294
10,0.0686214967863738
11,0.0663806635595837
12,0.0658752422744418
13,0.0659079402044882
14,0.0632859587551434
15,0.0616120589427551
16,0.0605644119519942
17,0.0610710833852331
18,0.0595318096169061
19,0.0587438675264861
20,0.061450047052327
21,0.060295379831101
22,0.0594726189282769
23,0.0615933922165996
24,0.06214066425607
25,0.0628991650289433
26,0.0605953770955497
27,0.0631874067497347
28,0.0614702733642324
29,0.062760861254374
30,0.0615598537290575
31,0.064672943280302
32,0.0625469692067858
33,0.0637892296183326
34,0.0646709051345035
35,0.0630052112623075
36,0.0622609843670359
37,0.0648273346265087
38,0.0629856499103135
39,0.0644477610586746
40,0.0658219258642782
41,0.0678166556794715
42,0.0678332141878052
43,0.0686924270651141
44,0.0662732663043823
45,0.0681718113282918
46,0.0679604189653708
47,0.0683077622939864
48,0.0703774073484058
49,0.0704159962666525
