"k","elnet"
3,0.210386746032584
12,0.117464228798514
21,0.0826021342809729
30,0.0687430265606941
39,0.0589336381874373
48,0.0546322091462296
57,0.0502356013524728
66,0.0479638427696984
75,0.0452038704508531
84,0.0436419598703408
93,0.0423454813324444
102,0.0410524093543671
111,0.0406390440341465
120,0.0392727564888488
129,0.0373574491628118
138,0.0373028343939205
147,0.0369457524369018
156,0.0354577364885343
165,0.0346515225004184
174,0.0338776265440444
183,0.0328114989527282
192,0.0326575290542678
201,0.0326423758152126
210,0.0317212675055251
219,0.0312099885824775
228,0.0301800513241477
237,0.027465241679683
246,0.0277544257378043
255,0.0257708496123333
264,0.0237304368872235
273,0.0143784107365537
