"k","elnet"
3,0.184739735684456
6,0.167629225545705
9,0.144099960487554
12,0.121319316353851
15,0.104530639000013
18,0.0971219002459987
21,0.0884379982296327
24,0.082804540715235
27,0.0761440796037516
30,0.0730217412175412
33,0.0693179799833444
36,0.065948750087
39,0.0627937151162935
42,0.05937400495511
45,0.0578349097983132
48,0.0559659810552871
51,0.0536057255523175
54,0.0513035744416318
57,0.0499165777971822
60,0.0482700705623735
63,0.0460391668339533
66,0.0463744591817247
69,0.0450200999095829
72,0.0443045293935091
75,0.0435554256239565
78,0.043048911475051
81,0.0425277169117637
84,0.0421488234808381
87,0.041466168088858
90,0.0405175407684078
93,0.040233139331259
96,0.0397958321200127
99,0.0388901386787536
102,0.0388140677208239
105,0.0383232044681985
108,0.0377318368273324
111,0.0367439589661441
114,0.0367226112044197
117,0.0360822991777615
120,0.0356125245023322
123,0.0353663613663548
126,0.0350724979401198
129,0.0352181218843307
132,0.0350229697431877
135,0.0348616891287698
138,0.0345552971660958
141,0.0344756133344812
144,0.034348388473543
147,0.0341339870261747
150,0.0343541145435228
153,0.0344999729903399
156,0.0344685040312292
159,0.0343044696864877
162,0.0337995546156398
165,0.0335718720882046
168,0.0335879883192797
171,0.0337702861843678
174,0.0339544092355316
177,0.033793636704935
180,0.0337544772326363
183,0.0333875099065944
186,0.0336476546015043
189,0.0341576360685359
192,0.0340819873053701
195,0.0344745993878348
198,0.0344814362253665
201,0.0343611683985224
204,0.0337300630272314
207,0.0337446318869904
210,0.0332357493222874
213,0.0335114056767489
216,0.0339067303240961
219,0.0339835958148334
222,0.0343368754415844
225,0.0341720868686905
228,0.0340284032179176
231,0.0349122714497649
234,0.036434268142253
237,0.0370638074374465
240,0.0368965370000858
243,0.0358760685102011
246,0.0372711382100824
249,0.0353461949708359
252,0.0346656854608259
255,0.0347502037683739
258,0.0328043450928235
261,0.03077294941234
264,0.0277342789036984
267,0.0280966570798688
270,0.0217317694276879
273,0.0236086887372216
