"k","lasso_refit"
3,0.0481955161387064
5,0.0532565598429422
7,0.0607123481502531
9,0.0559830908313569
11,0.0555299468346942
13,0.0556303788467787
15,0.0571394974512173
17,0.0599164472109177
19,0.0571293417722319
21,0.0527706783986933
23,0.0527190778442499
25,0.0575669011421932
27,0.0559885092459737
29,0.057061258129883
31,0.0582378558505346
33,0.057149496745284
35,0.0551053927078262
37,0.0586036797702606
39,0.0586041091098736
41,0.0588986547676171
43,0.0600929542908978
45,0.0617083615816543
47,0.0628411011704374
49,0.0656025587360455
