"k","elnet"
3,0.00384882206724913
5,0.000625289264559983
7,0.00229195663928425
9,0.00372494781870459
11,0.00167538329711053
13,0.000172983489994246
15,0.000181574637239396
17,-0.000952695661159369
19,-0.00128058801537227
21,-0.00114990171244242
23,0.000940218255168181
25,0.000141862474486886
27,0.00168019995620063
29,0.00210218735688002
31,0.000220042468686332
33,-0.000697063348080196
35,0.000222212431065364
37,-0.00114610188367776
39,-0.00180761925826305
41,-0.000702230422698973
43,-0.00165285329486489
45,-0.000992852323538888
47,-0.00308271425023103
49,0.000696133080749498
