"k","lasso"
3,0.120551142963596
5,0.159770304003873
7,0.168292626687804
9,0.177643288500844
11,0.15713562709809
13,0.158455792646495
15,0.135569777919592
17,0.137057127121363
19,0.145315492099194
21,0.132647163203868
23,0.131410394677072
25,0.11015856038695
27,0.115703081660315
29,0.115599697785523
31,0.108428401569578
33,0.116506359798811
35,0.120890989161848
37,0.119085743806184
39,0.120637410070341
41,0.120361543101617
43,0.120207836541214
45,0.123391921695684
47,0.116648768245682
49,0.121151992087414
51,0.115332117985066
53,0.122312819305851
55,0.117168967620872
57,0.108402341488636
59,0.096215645688402
61,0.0892906702239506
63,0.0811822325608995
65,0.0749500214898407
67,0.0619630627581816
69,0.0743432962572331
71,0.0667634886025387
73,0.0780433732223771
75,0.0949307074627563
77,0.0984970620116303
79,0.0867574116856929
81,0.0796430488649982
83,0.087418455877296
85,0.0788036454810261
87,0.0867277118936786
89,0.0911128028620648
91,0.0980107351633355
93,0.0881051843204254
95,0.0906179580081212
97,0.0745718725670863
99,0.0693983914310943
101,0.0753392416024226
103,0.0677371788221997
