"k","lasso_refit"
3,0.0910427250685409
5,0.0937846902583774
7,0.102802339023324
9,0.131540400599019
11,0.109001436188296
13,0.107259873574067
15,0.144506028028317
17,0.165279671306037
19,0.15292768265287
21,0.165583453088968
23,0.153252579833581
25,0.207658764402345
27,0.212449526507166
29,0.212448228699019
31,0.232420590508738
33,0.226829991828799
35,0.22914080597633
37,0.265629463723759
39,0.295598363892885
41,0.296048270514662
43,0.305034111805396
45,0.348160107841307
47,0.351409333898164
49,0.369624452531883
51,0.377710311005253
53,0.424837970531018
55,0.454006198210944
57,0.475421193319866
59,0.471565465985491
61,0.418408355498597
63,0.441196312812033
65,0.478877842043898
67,0.486569706363771
69,0.501126172798422
71,0.526571269712255
73,0.514232342969058
