"T_in","k","sharpe_oos","turnover_median","weight_instability_L1_median","weight_instability_L2_median","selection_instability_mean","nnz_mismatch_count"
120,1,0.550222728212197,0.876037043987539,0.222729090376256,0.219624338707003,0.117056856187291,0
120,4,0.813042441194554,4.82894097600558,1.59851129745878,0.891033236079925,0.197993311036789,0
120,7,1.04136447448101,11.6775670722417,3.49093258712227,1.53610455407064,0.198662207357859,0
120,10,1.25685215952208,22.0338156468889,4.81372442039464,1.88307024323822,0.161729017916309,0
120,13,1.38177716600608,33.494336899844,6.72827223333679,2.24102833461823,0.163829009864816,0
120,16,1.43569583775999,46.035587989597,9.91883125401927,3.0310710293253,0.161359790058134,0
120,19,1.4770800756776,62.2675099802882,12.9221511147415,3.64960208258531,0.161562696912414,0
120,22,1.52273797775116,80.8871889522883,16.1845778347356,4.37132515580016,0.154420014358941,0
120,25,1.51387139697585,100.553595628995,21.5718791003752,5.42934902410522,0.152694057779976,0
120,28,1.54863185510412,122.339841785173,25.8052299143958,6.26391813788972,0.142786937431883,0
120,31,1.58325351920593,153.785392016789,32.9361231146336,7.39564691183175,0.145706423098038,0
120,34,1.60537149339429,187.996688892256,40.0699086507651,8.90868905217704,0.148588074353033,0
120,37,1.57934678872164,225.430584612106,48.0051529602866,10.0814900417833,0.14224180464981,0
120,40,1.55325729148769,266.758653506346,59.6714954536516,12.3472455036784,0.142939235102873,0
120,43,1.5424194658539,316.750387352043,67.5371801017885,13.5781874738308,0.140492043523518,0
120,46,1.58809950460371,386.734736647667,89.5741712134717,17.3447485424779,0.141299407758731,0
120,49,1.61683329309286,465.734958305809,105.032022093913,19.9408801719408,0.142129215775512,0
120,52,1.6315651291802,553.633741547291,121.989383672325,23.0384573457856,0.144773113614826,0
120,55,1.65329778164624,651.685986337695,150.416034191986,26.2390179064963,0.141606823326334,0
120,58,1.65512650315189,785.323252050749,176.63190948464,31.4306575485175,0.144846216906409,0
120,61,1.6249766590687,927.153967043006,212.42720177717,38.427409505767,0.142976696481281,0
120,64,1.59934024907093,1097.94464098174,273.145781696553,47.7252398927272,0.143471161259075,0
120,67,1.5854302273352,1321.24075148926,307.681354860004,54.4438981247438,0.139514213749055,0
120,70,1.6062226933997,1555.60565586126,371.182169720176,63.4054812724912,0.141972860631722,0
120,73,1.5740704756106,1919.6314162753,437.604239102409,75.9585982002354,0.14012359274973,0
120,76,1.56145563880184,2325.5756240444,557.427661706312,96.2249124504318,0.141850743377677,0
120,79,1.54309897316239,2869.27123842478,718.733960366647,124.67666112079,0.141108084130748,0
120,82,1.54393217286509,3528.24847830552,865.640610396388,142.465124625229,0.138254401729296,0
120,85,1.5242670135309,4319.1808770228,1139.32482341642,189.463687512379,0.138681241849792,0
120,88,1.54384189438328,5322.68043936689,1344.93733012569,225.673579681373,0.13628118110477,0
120,91,1.56837959114843,6822.35433044996,1753.78679160332,297.297893386451,0.132468564725498,0
120,94,1.51405114941823,8536.27962705795,2338.40480630365,392.227292207793,0.128717863884544,0
120,97,1.54039275314082,11234.812104983,3381.74436832818,556.360921163991,0.121770684199431,0
120,100,1.46501542804854,15076.3343046467,4625.10524097067,744.311898670419,0.109089357530619,0
120,103,1.46498583783267,20294.5820352928,7088.37015641852,1148.0186726633,0.0972893394255832,0
120,106,1.40514323955023,30886.1100704674,11497.4486233107,1772.54914265256,0.0733727724970935,0
120,109,1.175128617541,50398.3861207866,19606.602762895,3091.91376476852,0.0432719258806215,0
