"k","lasso_refit"
3,0.103689577462535
5,0.076029796093612
7,0.149915610151318
9,0.173565934341436
11,0.202236318583049
13,0.205905392990225
15,0.218107774574143
17,0.20341522616151
19,0.226755912087374
21,0.198521125260183
23,0.2194217215809
25,0.24494343563628
27,0.224396871900307
29,0.261162198943234
31,0.230037249894212
33,0.22094889641052
35,0.234070159530247
37,0.243497792437198
39,0.232778546745901
41,0.213623183540946
43,0.234420234777224
45,0.226541800342117
47,0.245962295228937
49,0.276867240789164
51,0.264029728881737
53,0.234153278080764
55,0.249271010939081
57,0.249295511758794
59,0.265479007145182
61,0.292285683949778
63,0.295181670567249
65,0.279237304887648
67,0.280513854944152
69,0.3034631015653
71,0.268900295387166
73,0.273852648848315
75,0.264512450391708
77,0.265146921229426
79,0.270589639559495
81,0.255260871625327
83,0.26355878985766
85,0.26734910391418
87,0.273600173273105
89,0.284342932787363
91,0.274863505350396
93,0.257407714079271
95,0.257713151440673
97,0.273685841297581
99,0.2630035465553
