"T_in","k","sharpe_oos","turnover_median","weight_instability_L1_median","weight_instability_L2_median","selection_instability_mean","nnz_mismatch_count"
380,1,0.444761283740759,NA,0,0,0,0
380,4,0.635662415325969,NA,0.152630739209676,0.0811891382437393,0.181196581196581,0
380,7,1.31771010846001,NA,0.119453090251741,0.055098371735481,0.173076923076923,0
380,10,1.30669919165941,NA,0.116421021998947,0.0441778681383658,0.155579463271771,0
380,13,1.60242984784255,NA,0.12625654943515,0.04351536951146,0.139438339438339,0
380,16,1.94703526400173,NA,0.108201206537291,0.033208995628826,0.119763964965203,0
380,19,2.20242495022265,NA,0.0902599989749867,0.0250759800607234,0.110844710844711,0
380,22,2.20052021500219,NA,0.0874565499673318,0.0247576403945357,0.114685990338164,0
380,25,2.28120748653156,NA,0.0848764712146599,0.0212245017311817,0.0938866451686964,0
380,28,2.30330059620328,NA,0.093565017255607,0.0222177815211068,0.105740471368947,0
380,31,2.36826553052925,NA,0.0912917477608214,0.0212339280671173,0.0925649513884808,0
380,34,2.36368871715768,NA,0.0862875997243703,0.0194967272278687,0.0886111096637413,0
380,37,2.38007584413576,NA,0.0828272105756298,0.0184893204643084,0.108040022363119,0
380,40,2.38685172094345,NA,0.0926716399772441,0.0199595839269362,0.13759483679827,0
380,43,2.46382365699158,NA,0.0938314547193494,0.0191480842321037,0.120007148043358,0
380,46,2.50392789790378,NA,0.102468588441677,0.0211769794375844,0.114962999758825,0
380,49,2.53538667851862,NA,0.104055018785335,0.0205585494686749,0.100359540328236,0
380,52,2.45322527804912,NA,0.102752163712064,0.0191784268303419,0.0992723007196406,0
380,55,2.43768543972732,NA,0.0969801009902324,0.0179502625501129,0.0905106629590745,0
380,58,2.45913603454611,NA,0.0964486600356171,0.0180836334300623,0.0850386550439277,0
380,61,2.42924718947479,NA,0.0943822495734929,0.0170527071132706,0.0931749972206807,0
380,64,2.38580654978246,NA,0.0967791708279904,0.0162189292389272,0.086940019131704,0
380,67,2.35422214633826,NA,0.0922105644138539,0.014941337971752,0.0873326951700868,0
380,70,2.3358283475051,NA,0.0950265000227023,0.0149693924008471,0.0909291661304822,0
380,73,2.3423224466304,NA,0.0947101677045791,0.0143159831065558,0.0768130801103691,0
380,76,2.39317278348001,NA,0.089745953783954,0.0137631646978018,0.0783541190111225,0
380,79,2.38100886555474,NA,0.0910689789985641,0.0135813451488463,0.0783547879791183,0
380,82,2.34295093110605,NA,0.0869735709046769,0.0127655280188398,0.0847172193542609,0
380,85,2.28970384127399,NA,0.0895014005311614,0.0131493003227727,0.0833169459638886,0
380,88,2.23323947329268,NA,0.0957489211751074,0.013350789867109,0.0804350907009728,0
380,91,2.17645883691384,NA,0.0838493071754772,0.0113605913229831,0.0810753326394144,0
380,94,2.1406142947702,NA,0.0795349127095794,0.0110998004589344,0.0801011148307279,0
380,97,2.11731371246751,NA,0.085290726346621,0.01159223528464,0.0759348927942184,0
380,100,2.09546613242069,NA,0.0817912556316293,0.0111744379535487,0.0771434851094679,0
380,103,2.07233191833365,NA,0.0868942981871261,0.0117951754140171,0.0717145693852296,0
380,106,2.06683885856873,NA,0.0804421109896074,0.0103843635715968,0.0743764737708777,0
380,109,2.04186634803944,NA,0.0846665687866158,0.0109904692222466,0.072525150171196,0
380,112,2.02179986487608,NA,0.0883618527460874,0.0109428064024024,0.0715560850821705,0
380,115,1.99192030576835,NA,0.0841527728545889,0.0102423645145958,0.0684244707625336,0
380,118,1.96592484507682,NA,0.0876353655675132,0.0109129008619756,0.0744846837309871,0
380,121,1.93808042372032,NA,0.0844458755770442,0.0102856941495008,0.0777137954074463,0
380,124,1.90614888519683,NA,0.0859639576430848,0.0103520508232522,0.0781070757578327,0
380,127,1.89017986697212,NA,0.0892227875005571,0.0107551613047542,0.0736853397840018,0
380,130,1.86273832717511,NA,0.0895804027516638,0.010559439105422,0.0693017833522313,0
380,133,1.83970099733437,NA,0.0884079531396737,0.0102820233613003,0.0727882032040025,0
380,136,1.79196542903945,NA,0.0890578296712226,0.0100413468078018,0.0715438655279339,0
380,139,1.74791484708922,NA,0.0864195314788476,0.0104946146113898,0.0701050204793566,0
