"T_in","k","sharpe_oos","turnover_median","weight_instability_L1_median","weight_instability_L2_median","selection_instability_mean"
120,1,0.830907052965179,4.49415777380462,0.120784888792179,0.120784888792179,0.117056856187291
120,4,1.05128781870426,28.0226586307877,2.75067873877099,1.70334664581919,0.197993311036789
120,7,1.30778765782995,55.7672780883154,16.8538982050047,8.1982159723467,0.198662207357859
120,10,1.44778086777276,81.2874587841467,22.7884793345791,10.1824111146614,0.161729017916309
120,13,1.39519892385646,115.115044785356,41.8147886197664,16.0909947112363,0.163829009864816
120,16,1.52172994289157,172.751688070428,55.562300530213,20.1115818405365,0.161359790058134
120,19,1.52609218296614,232.451103141725,78.9941262361967,25.126904996505,0.161562696912414
120,22,1.46557287398182,281.170494518804,83.8250569166293,25.3796895695672,0.154420014358941
120,25,1.52981700025409,366.651077592761,119.056794084027,31.5624849487233,0.152694057779976
120,28,1.56312196086258,447.781602449242,139.894960804386,36.8959689405503,0.142786937431883
120,31,1.49084952402109,561.812382019006,171.075733831604,43.6194504303525,0.145706423098038
120,34,1.3999219443353,669.959445451898,225.487675837151,54.9605341946468,0.148588074353033
120,37,1.3802893655957,845.682487738976,303.281769421447,69.7029012246294,0.14224180464981
120,40,1.38746097129752,1032.34765686863,343.245626272211,77.9136053010319,0.142939235102873
120,43,1.49139240930452,1242.17671986681,408.041212028661,90.0556533368821,0.140492043523518
120,46,1.50897488835346,1482.07516077136,498.411121112601,101.000312756678,0.141299407758731
120,49,1.45191916300913,1805.65488038545,612.455962104094,122.8733990945,0.142129215775512
120,52,1.48045227861151,2098.35312378262,758.884920540293,154.157011245873,0.144773113614826
120,55,1.48724796776089,2639.22641616758,891.911331125585,171.459412413274,0.141606823326334
120,58,1.39877947917305,3048.49972932748,1006.28436930442,186.638491067449,0.144846216906409
120,61,1.33512079197497,3765.91645978897,1296.76537499748,246.424073732047,0.142976696481281
120,64,1.42695085817234,4569.6962386738,1555.44390498079,295.382605794639,0.143471161259075
120,67,1.42729370150332,5497.73203096293,1843.43400002503,339.078068302696,0.139514213749055
120,70,1.37730878033168,6699.22301980827,2238.80971994603,407.295469406709,0.141972860631722
120,73,1.33109506664274,8244.0312455952,2579.51966809083,466.708237913205,0.14012359274973
120,76,1.28045804957563,9924.5245337345,3301.77290737108,578.2396419557,0.141850743377677
120,79,1.38331098835636,11275.7020047728,3770.32263136587,669.559595371998,0.141108084130748
120,82,1.41928388444052,13635.7281097815,4648.15883331056,770.962862647894,0.138254401729296
120,85,1.35472600496668,15889.1863884517,5363.52701088212,898.465348221827,0.138681241849792
120,88,1.39681290501666,18076.3153137193,6302.94741410184,1046.79711551495,0.13628118110477
120,91,1.35999469947475,22286.9239713679,8359.27377527902,1434.89977073738,0.132468564725498
120,94,1.32245824489039,26700.1113859369,10318.5566384548,1710.70719018798,0.128717863884544
120,97,1.21654379186831,32517.7303601403,12578.3942749236,2001.69201739229,0.121770684199431
120,100,1.31335015777035,40156.6548782735,17630.4439376816,2744.15759003296,0.109089357530619
120,103,1.28383933160559,51666.3041156856,23143.6050896937,3676.18153303994,0.0972893394255832
120,106,1.04512764222575,68914.7505958415,30987.12151381,4831.50047933042,0.0733727724970935
120,109,0.864529366468284,89044.9522109134,36912.2328850833,5821.39778055176,0.0432719258806215
