"k","lasso_refit"
3,0.174612294558776
5,0.169591599028196
7,0.201546838515531
9,0.17638833885411
11,0.214704455902373
13,0.20919918184419
15,0.233475820255928
17,0.248358752404208
19,0.234605626734189
21,0.245327590993822
23,0.245480370164377
25,0.254419045045533
27,0.2605102097966
29,0.256477957550703
31,0.235380237400377
33,0.234509563312004
35,0.200891275043153
37,0.19506185677538
39,0.188945174259737
41,0.218796326100012
43,0.220251125793062
45,0.232425551521028
47,0.204855638169204
49,0.230216197969322
51,0.240973683408711
53,0.223766279500142
55,0.228907634770474
57,0.251781765203323
59,0.237655642057618
61,0.234239267985118
63,0.250033085439551
65,0.24287720780589
67,0.257975870439838
69,0.249536311134928
71,0.267712759333702
73,0.251574493424046
75,0.278961521046007
77,0.264842612122045
79,0.272251059385
81,0.263879889627758
83,0.24108507297457
85,0.224785935817299
87,0.222867412939099
89,0.203142167207046
91,0.193400734404085
93,0.195816345603653
95,0.207391327970176
97,0.211443312715401
99,0.219846690123264
