"k","SharpeRatio","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.48079929861468,0,0.0446927374301676,0,0
4,0.704627545453836,0.729058077226199,0.131098696461825,0.126961966835008,0.0718171241938273
7,1.08844349935146,2.10222950224891,0.130912476722533,0.107919493966085,0.0494838847539236
10,1.30236947184691,3.10751914843983,0.115286947689182,0.11873904856074,0.0463368351224376
13,1.46927047405957,4.29945943958085,0.121249002394254,0.106608691264511,0.0357200047132123
16,1.56750949044897,5.81890082396377,0.111266774670272,0.120258226860277,0.0357383119888872
19,1.65556878453367,6.94176920848659,0.0972368818130294,0.111589259711107,0.0312727590361738
22,1.71103135057581,8.03164345641266,0.0918986316897418,0.0968985298608125,0.0254411769934158
25,1.82931813607356,8.78887345289887,0.0877456340758209,0.0983325978796985,0.0249841552909333
28,1.87153845667118,9.4908542946605,0.0770092157021145,0.101451532892638,0.0244943674152024
31,1.95355739162467,10.930629390941,0.0776500569755581,0.109365786593119,0.026104098949009
34,2.0351887216368,13.1254318884492,0.0794220633679615,0.104196611720628,0.0238962271412125
37,2.04032793905357,15.3491399875231,0.0801935924532577,0.100637436138282,0.022066182979624
40,2.04396732486437,18.4165892140468,0.0814525209128276,0.103953371160171,0.0227629433893217
43,2.06301178115381,28.4585871320395,0.0833889828463996,0.0991744686286886,0.0210238734672135
46,2.04714491069665,33.5067652985551,0.0776719725910693,0.0970075023832781,0.0200772095745053
49,2.09130532649072,41.650536722809,0.0799611644786155,0.0942527080576682,0.0190523682027052
52,2.10071305000771,52.5253746566121,0.0812938758004948,0.087238214796323,0.0179489635512803
55,2.10547673524315,62.4214558163564,0.0787467247805645,0.0857814687039099,0.0161680352577541
58,2.12842220648151,61.9972903299294,0.0785210421635826,0.081819693362091,0.0157087332009577
61,2.12653194604963,61.4499737056847,0.0775472413923165,0.0828297828729465,0.0150302818664026
64,2.1583949193685,65.212059999677,0.0818817335008553,0.0858081729173464,0.015755022973447
67,2.19005290327833,72.2596830050166,0.0793473816828378,0.0843904657000554,0.0151259283534011
70,2.2363049035074,74.469116297827,0.078194279906764,0.075971651278572,0.0133959032221609
73,2.29590576218825,68.9093609224938,0.0790836534979431,0.0770510604725389,0.0128065458921339
76,2.30990085370467,60.869761983431,0.0773123750663567,0.0726947977354049,0.0121686109996627
79,2.30231289062011,52.9860488065112,0.0764650685330785,0.0729452795779454,0.012613984627312
82,2.30141459357406,46.0890086697929,0.0758146234057728,0.073934860137132,0.012330605637048
85,2.31389028094988,41.0264264062377,0.0724514347044592,0.077095675285101,0.0125694693075189
88,2.30362895861892,36.4092378088573,0.0764248988854705,0.074740321995733,0.012113818770227
91,2.31577920695047,34.9704616429266,0.073689258949946,0.0716125152131207,0.0113379203020296
94,2.31139965624277,34.58776588809,0.0715078522155945,0.0783014043172884,0.012555740093951
97,2.31312969206634,31.1583605565019,0.0688150273569227,0.0876797375366276,0.0141484718680878
100,2.2761419972376,25.0681651707669,0.0671394154518538,0.0895457681776055,0.013944908194211
103,2.26092776822407,21.1162384274583,0.0598874606177654,0.0848293818764459,0.0144390284502684
106,2.26530118938655,17.9302042517935,0.0514573419721822,0.0814913636061006,0.0125810516462745
109,2.23917258198002,14.7671194680018,0.0335490155322557,0.0832206224897545,0.0141270051855826
