"k","lasso_refit"
3,0.120430354536137
5,0.136338497929881
7,0.155672336910254
9,0.127359637592886
11,0.110277672344085
13,0.123976401664374
15,0.140400339150729
17,0.152605065609849
19,0.172703476743142
21,0.209499323273383
23,0.267079252259881
25,0.273722583797903
27,0.289655674799005
29,0.299222609866072
31,0.293182927993186
33,0.300559427860648
35,0.283948953405578
37,0.278898417226004
39,0.267149881531061
41,0.240749985843073
43,0.253531905429606
45,0.280062763653248
47,0.288153685947558
49,0.276540920566957
51,0.28330276926678
53,0.274276910693374
55,0.309633019914541
57,0.292007376637691
59,0.307474906695695
61,0.293545078632272
63,0.287596140120971
65,0.304559950596206
67,0.275029699414689
69,0.298745540461056
71,0.32136642774714
73,0.31055100253289
75,0.318762170850293
77,0.312744996434713
79,0.318099183091533
81,0.302720076352739
83,0.30790126055677
85,0.320755885931289
87,0.323320844521817
89,0.315639442598681
91,0.306867220394781
93,0.308240010546284
95,0.296010811833454
97,0.29124157417597
99,0.312059170947278
101,0.300365290469218
103,0.31249452053982
105,0.315318193748966
107,0.31580730484188
109,0.310078186415787
111,0.327970588478781
113,0.331826227705588
115,0.340553395618966
117,0.334707667820162
119,0.326272117582341
121,0.328525150224587
123,0.320005245584526
125,0.312259857123497
127,0.319055572888152
129,0.311073263737242
131,0.318349794847373
133,0.32346039195231
135,0.310106946254634
137,0.298622361798669
139,0.28277018960179
141,0.290454407910683
143,0.290451793221582
145,0.270272387839859
147,0.2842951447524
149,0.288833750532103
151,0.299360015387877
153,0.291159853015443
155,0.264419811512613
157,0.245856574551873
159,0.231025499862604
161,0.236827833733779
163,0.226276716500228
165,0.205193268615685
167,0.227388881342846
169,0.244132563134666
171,0.232664109348728
173,0.232628441301896
175,0.248511249488936
177,0.253228491419861
179,0.249122451064653
181,0.237098650164197
183,0.228394911042617
185,0.206324507439429
187,0.214666200870199
189,0.254302765953886
191,0.236571163690689
193,0.217873706136906
195,0.206149318254763
197,0.195521305924204
199,0.193987189032915
