"k","lasso"
3,0.127719659257194
5,0.123092013055256
7,0.124667967072385
9,0.155380424643637
11,0.177655531734897
13,0.198104533811932
15,0.199771206609223
17,0.207427398590652
19,0.204809119001463
21,0.198063321523122
23,0.199614988955998
25,0.196252937687739
27,0.192031431863952
29,0.197257162898129
31,0.190591148116096
33,0.196707412374723
35,0.197835552119473
37,0.192127200895261
39,0.192831470143076
41,0.190387972339858
43,0.193244782746447
45,0.198892714619042
47,0.194509116889504
49,0.196858039750246
51,0.202828788993956
53,0.201477695862618
55,0.199926640956761
57,0.204163899143925
59,0.201535936224653
61,0.205021446094875
63,0.196349929862801
65,0.19431508681553
67,0.195487268750225
69,0.197996309319952
71,0.193096021963655
73,0.192139145024101
75,0.186143055970326
77,0.187824682566833
79,0.185922561365095
81,0.1880012110658
83,0.189565919842455
85,0.195080928117999
87,0.199374755306232
89,0.20365017364643
91,0.199734556956038
93,0.19130335375995
95,0.191497640946791
97,0.192895268413696
99,0.195269322596877
101,0.199115317982103
103,0.200657227169046
105,0.206602508504258
107,0.211440195125838
109,0.210017782849347
111,0.213159605482479
113,0.212413554188361
115,0.198548874148397
117,0.198944632370742
119,0.191396622923075
121,0.18307877474795
123,0.170506596170435
125,0.169982678617622
127,0.181421340917413
129,0.172096687831416
131,0.175657015719546
133,0.178975254485071
135,0.181111633704891
137,0.175441704463963
139,0.178088404262245
141,0.180864527874682
143,0.181852262297298
145,0.181106278563084
147,0.18429987653075
149,0.18828325724502
