"k","elnet"
3,0.131600685730512
5,0.172392429745855
7,0.194481396221231
9,0.180930857068146
11,0.164879074336178
13,0.171259225461159
15,0.162994643467477
17,0.168192954993379
19,0.171956302464989
21,0.170469922564371
23,0.169891989520992
25,0.17465618744287
27,0.177424478298627
29,0.180890624840742
31,0.182364221029228
33,0.18488051652299
35,0.18653570091074
37,0.185735431586159
39,0.177323396338455
41,0.177519048972185
43,0.180150931884251
45,0.178536821922765
47,0.180199642188373
49,0.181045776537733
51,0.182660452229135
53,0.183814673264161
55,0.183555394857415
57,0.188143060325011
59,0.187911898758782
61,0.188853716098677
63,0.188569061794696
65,0.18818636434299
67,0.187228538287384
69,0.183533770404572
71,0.186629059971275
73,0.189195988088939
75,0.189323746904949
77,0.193104576707051
79,0.192099511332321
81,0.190498356494566
83,0.189812940140236
85,0.188773045559363
87,0.188817300187007
89,0.19018311401431
91,0.191013693369833
93,0.189134932292388
95,0.188600516565138
97,0.187784860211356
99,0.187655142873187
101,0.186595903727917
103,0.18784674052041
105,0.186410137720719
107,0.187340620037007
109,0.186542469812684
111,0.187557119827701
113,0.188406104267485
115,0.187721364859916
117,0.18952614377951
119,0.190703437714709
121,0.190821479417905
123,0.190019764258664
125,0.190249129337895
127,0.190296957841811
129,0.190209385200921
131,0.187970505176483
133,0.19051948341577
135,0.188704892722694
137,0.189676540606623
139,0.1907138898586
141,0.191015042142175
143,0.194459413616425
145,0.196727384422102
147,0.196521722800503
149,0.196681819414421
151,0.199339373339476
153,0.197931321641308
155,0.197279395823985
157,0.197315114493011
159,0.195621213155339
161,0.195105215378118
163,0.193826394118928
165,0.198460013948995
167,0.192278807716236
169,0.192702312319585
171,0.188885528682894
173,0.185446943807815
175,0.181979125044744
177,0.18542406833488
179,0.184367998361646
181,0.171702338214157
183,0.172018125526419
185,0.147153961953431
187,0.144999098670717
189,0.169696306657571
191,0.167818973883914
193,0.189317536815977
195,0.16027115036884
197,0.168913178068667
199,0.160702239638389
