"k","lasso"
3,0.18001692623607
5,0.152405744689851
7,0.159568720824545
9,0.160203393315586
11,0.16424395528149
13,0.15923510474341
15,0.171996613956628
17,0.169804264454792
19,0.176057205265601
21,0.178582524114077
23,0.18152871688869
25,0.18632636854638
27,0.181301380643991
29,0.18509161868839
31,0.187320510019276
33,0.183447987421274
35,0.175297084059426
37,0.171206885824258
39,0.166832153573888
41,0.169089596318838
43,0.165498146085512
45,0.164882893462771
47,0.174200411612782
49,0.177464650476965
51,0.186520288345948
53,0.190381798067641
55,0.18745978497584
57,0.186565762486804
59,0.190827271810983
61,0.189523344890207
63,0.188316565985776
65,0.192598076876084
67,0.190539969541803
69,0.190809512442785
71,0.192510396944955
73,0.190862731459421
75,0.185599664204558
77,0.186171898800611
79,0.184469939879415
81,0.185460284036353
83,0.182670861864762
85,0.184707620138584
87,0.186619429049108
89,0.187433618048378
91,0.189877880974864
93,0.187545005918476
95,0.188704637174175
97,0.184479742599439
99,0.188064067547397
101,0.186900580080598
103,0.190586488780736
105,0.192421517736177
107,0.193768606277366
109,0.193480058151947
111,0.190019170325142
113,0.189455015270143
115,0.1897727770191
117,0.19463308083193
119,0.197854934513095
121,0.197288957726215
123,0.19902837606441
125,0.199617267944366
127,0.198048123370473
129,0.201450600890816
131,0.199088576801688
133,0.204929362907944
135,0.206540424051685
137,0.203801649474888
139,0.204282147926715
141,0.212905005761205
143,0.212898915342023
145,0.211599281410041
147,0.21682080142788
149,0.216200015309948
151,0.217953228479239
153,0.214420341836393
155,0.207811360843724
157,0.212764483441565
159,0.211883535608215
161,0.210913950265584
163,0.209790466922102
165,0.206491867257931
167,0.211842565525946
169,0.210439806316606
171,0.207091348919553
173,0.206788539702651
175,0.202542548119373
177,0.194492764028801
179,0.191395879509473
181,0.194164496025318
183,0.198636624335682
185,0.201218239658043
187,0.202216361998779
189,0.189476496649341
191,0.179616607112449
193,0.184656945752622
195,0.191018854894697
197,0.19183510518966
199,0.189972314689744
201,0.188501548715125
203,0.179221387678864
205,0.181960824188029
207,0.182937324979459
209,0.188228131296988
211,0.190458617772673
213,0.190340522192463
215,0.184706559669153
217,0.186882889419196
219,0.185905424643527
221,0.188063415396524
223,0.19101535399747
225,0.191204001463475
227,0.191444428171222
229,0.192573207280778
231,0.190284447571404
233,0.18943358945696
235,0.188979784397702
237,0.189336961428827
239,0.190108640834372
241,0.189565362155262
243,0.188508994179549
245,0.19155691522418
247,0.192458670571585
249,0.192525621593017
