"k","elnet_refit"
3,0.138413304477377
5,0.154981950747213
7,0.119398838225862
9,0.137621438336498
11,0.0710787783299076
13,0.0756477956688342
15,0.104330810415069
17,0.101180024412227
19,0.123850674757864
21,0.136199732937716
23,0.149743730728605
25,0.155239709131782
27,0.160976326575947
29,0.172307602284604
31,0.183926937114911
33,0.195718856633958
35,0.203491387010395
37,0.221540457198119
39,0.231077930687382
41,0.221602507099829
43,0.232936250749475
45,0.230360525168018
47,0.235556780432505
49,0.241234500078566
51,0.249050923686367
53,0.260927313563968
55,0.262962620889259
57,0.265360466648621
59,0.265461893744416
61,0.271780483732631
63,0.280587748936368
65,0.287583975612907
67,0.278239318640997
69,0.287539000096238
71,0.282672679681355
73,0.282803422517891
75,0.287497956105416
77,0.276518347672602
79,0.276639683074303
81,0.288007035197242
83,0.285805065943722
85,0.285265662525742
87,0.291356221779707
89,0.291494927814822
91,0.291135912655574
93,0.288909398636559
95,0.294466384760673
97,0.295353798746854
99,0.289873543542352
101,0.28463100784223
103,0.281442998088378
105,0.285775475548584
107,0.278185369256645
109,0.280985082553949
111,0.28642312253476
113,0.290805522228605
115,0.288760642906343
117,0.288012287133124
119,0.290234320643867
121,0.295602238846084
123,0.287109012427828
125,0.283671769511699
127,0.281766535218133
129,0.274079512596799
131,0.280054804227275
133,0.28648605912794
135,0.294804779891517
137,0.282854876930525
139,0.288666291192757
141,0.295636794483739
143,0.279664279699902
145,0.283050195375738
147,0.273962184677792
149,0.280762741616351
151,0.283369140616833
153,0.255202267533244
155,0.242420661712816
157,0.246826105530387
159,0.230175025928545
161,0.226573527326376
163,0.212979306388529
165,0.206059145378003
167,0.201885221144874
169,0.225073706327499
171,0.238784355678791
173,0.238133669560057
175,0.246808135208995
177,0.272250983449758
179,0.292765380362427
181,0.267770656302909
183,0.258580759417188
185,0.239289015594772
187,0.272100513816667
189,0.236757144504489
191,0.192482252877974
193,0.181756429732753
195,0.204151166281547
197,0.192699370488342
199,0.179853763233255
