"k","lasso"
3,0.166572558545085
5,0.153518983461742
7,0.178231116537947
9,0.173237533026336
11,0.190002153932274
13,0.211944945454886
15,0.20999157672383
17,0.205247373074907
19,0.194880885140173
21,0.192861245197771
23,0.192724864595564
25,0.197090984038579
27,0.199792405383559
29,0.197065515179505
31,0.191245053963251
33,0.195687507764377
35,0.199510322648249
37,0.204376452616309
39,0.201173411500289
41,0.199673411364544
43,0.196538516310498
45,0.194086868214858
47,0.192416968025498
49,0.194477690950291
51,0.197676519859634
53,0.195658079555885
55,0.196414963549118
57,0.193837520082585
59,0.196934634889094
61,0.189536661778767
63,0.195232586569485
65,0.193695435841669
67,0.198454654351191
69,0.202786853663426
71,0.203499118789756
73,0.200826525111037
75,0.198637754211265
77,0.202248326047154
79,0.20373260881858
81,0.200032173245684
83,0.201216112740176
85,0.203437027762941
87,0.198646969426652
89,0.1947283326206
91,0.189768278549237
93,0.191293329409961
95,0.196200961669774
97,0.199453162002269
99,0.197228982490541
101,0.191893939380787
103,0.18738921355797
105,0.18799210452109
107,0.186598283147231
109,0.185870138594846
111,0.190948600234453
113,0.196360558678175
115,0.201427599400116
117,0.201021127977188
119,0.202830390075742
121,0.202159839724817
123,0.209092492745019
125,0.201129515349628
127,0.189541680707265
129,0.183972556582368
131,0.177302047393876
133,0.185550154121767
135,0.179596468475949
137,0.185858663573427
139,0.181450302884793
141,0.179872487338724
143,0.180343763835358
145,0.188740906299983
147,0.189644837635682
149,0.18298153425951
